Turin2019 PG2-SARAH2,Turin2019 PG2-ERA5,Turin2019 PG3-SARAH3,Turin2019 PG3-ERA5,Turin2020 PG2-SARAH2,Turin2020 PG2-ERA5,Turin2020 PG3-SARAH3,Turin2020 PG3-ERA5,Turin2019 RN-MERRA2,Turin2020 RN-MERRA2,Turin2019 PV-MEAS,Turin2020 PV-MEAS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.00346,0.0,0.0038,0.0,0.00608,0.0,0.00677,0.042,0.001,0.0,0.0
0.14565999999999998,0.1981,0.14576,0.19821,0.026760000000000003,0.09028,0.033170000000000005,0.08982,0.241,0.057,0.02642107017836306,0.0
0.35534,0.38244,0.34676,0.38069,0.08501,0.12919999999999998,0.08323,0.13925,0.41,0.118,0.18928154692448712,0.00992391663910023
0.50115,0.50281,0.48375999999999997,0.50134,0.12343000000000001,0.24755000000000002,0.156,0.25847000000000003,0.522,0.145,0.3693115519253203,0.07939133311280185
0.5965499999999999,0.57236,0.56948,0.5679500000000001,0.26295999999999997,0.28051,0.33026,0.26336000000000004,0.577,0.159,0.45982663777296184,0.16374462454515382
0.6133200000000001,0.58013,0.60441,0.57236,0.16884,0.34669,0.19794,0.32438,0.569,0.155,0.4789131521920317,0.14555077737347005
