,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed
Locations,Forli2014,Forli2014,Forli2014,Forli2014,Forli2014,Forli2014,Forli2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Torino2019,Torino2019,Torino2019,Torino2019,Torino2019,Torino2020,Torino2020,Torino2020,Torino2020,Torino2020,Almeria2023,Almeria2023,Almeria2023,Almeria2023,Almeria2023,Almeria2023,Almeria2023
Profile time series,PV-MEAS,RN-MERRA2,RN-SARAH,PG-SARAH,PG-SARAH2,PG-ERA5,CR-ERA5,PV-MEAS,RN-MERRA2,RN-SARAH,PG-SARAH,PG-SARAH2,PG-ERA5,CR-ERA5,PV-MEAS,RN-MERRA2,RN-SARAH,PG-SARAH,PG-SARAH2,PG-ERA5,CR-ERA5,PV-MEAS,RN-MERRA2,RN-SARAH,PG-SARAH,PG-SARAH2,PG-ERA5,CR-ERA5,PV-MEAS,RN-MERRA2,RN-SARAH,PG-SARAH,PG-SARAH2,PG-ERA5,CR-ERA5,PV-MEAS,RN-MERRA2,PG-SARAH2,PG-ERA5,CR-ERA5,PV-MEAS,RN-MERRA2,PG-SARAH2,PG-ERA5,CR-ERA5,PV-MEAS,RN-MERRA2,RN-SARAH,PG-SARAH,PG-SARAH2,PG-ERA5,CR-ERA5
Subsets,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed
Index,1,2,3,4,5,6,7,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,8,9,10,11,12,13,14,15,16,17,46,47,48,49,50,51,52
941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
944,0.013328394,0,0,0,0,0.01808,0.0414,0.018113328,0.017,0,0,0,0.08548,0,0.0008165,0.005,0,0,0,0.02669,0,0.017,0.017,0,0,0,0.0203,0,0.031,0.031,0,0,0,0.00584,0,0.000416736,0.12,0.01068,0.05099,0,0,0.086,0.00876,0.04624,0,0.01904394,0.022,0,0,0,0,0
945,0.06893273,0.003,0.001,0.11847,0.12419,0.07347,0.1334,0.011436132,0.071,0.007,0.00417,0.01091,0.12613,0.0791,0.018868499,0.051,0.037,0.0402,0.06038,0.08464,0.0257,0.045,0.045,0,0.01086,0.06794,0.03808,0.029,0.128,0.128,0,0,0.15888,0.04553,0.0061,0.04834139,0.324,0.202,0.24532,0.137,0.046311611,0.249,0.19114,0.20452,0.1259,0.083212031,0.135,0,0,0,0,0
946,0.316049365,0.051,0.133,0.27226,0.28331,0.1902,0.1978,0.017491749,0.137,0.031,0.01017,0.01688,0.16486,0.1274,0.036497703,0.101,0.055,0.06666,0.08636,0.21757,0.1225,0.079,0.079,0,0.05107,0.18509,0.05483,0.0601,0.251,0.251,0,0,0.12017,0.15448,0.0382,0.219536589,0.494,0.37889,0.43357,0.3565,0.18690043,0.375,0.38806,0.34992,0.2935,0.197850529,0.222,0,0,0,0,0
947,0.17226191,0.124,0.292,0.42235,0.42402,0.23954,0.3072,0.076570562,0.107,0.084,0.0853,0.09892,0.07914,0.0885,0.048813467,0.161,0.048,0.05798,0.07134,0.2497,0.2225,0.138,0.138,0,0.06166,0.03807,0.03081,0.0584,0.347,0.347,0,0,0.04732,0.23494,0.0892,0.398399733,0.586,0.53277,0.5603,0.5468,0.345683096,0.401,0.54552,0.5131,0.4639,0.381216368,0.478,0,0,0,0,0
948,0.204730458,0.218,0.292,0.33291,0.34612,0.41147,0.4567,0.270581589,0.075,0.179,0.22413,0.25487,0.19003,0.0864,0.038472146,0.173,0.04,0.0353,0.04901,0.31528,0.2477,0.092,0.092,0,0.03474,0.04852,0.02904,0.0453,0.402,0.402,0,0,0.10017,0.35515,0.1738,0.512002,0.59,0.61707,0.62795,0.6621,0.458154152,0.449,0.63359,0.53974,0.5949,0.802425295,0.579,0,0,0,0,0
949,0.207667953,0.202,0.245,0.18735,0.20325,0.5066,0.4597,0.198146236,0.067,0.263,0.20366,0.23768,0.41697,0.237,0.049748117,0.185,0.033,0.01817,0.02369,0.39894,0.275,0.062,0.062,0,0.01763,0.03818,0.01422,0.0308,0.405,0.405,0,0,0.08443,0.25287,0.1996,0.518336389,0.614,0.64125,0.63848,0.7125,0.527621568,0.554,0.67542,0.53401,0.6129,0.347918921,0.596,0,0,0,0,0
950,0.259259982,0.139,0.225,0.44783,0.45449,0.46225,0.3642,0.110813174,0.062,0.171,0.20108,0.23615,0.37241,0.3354,0.034038458,0.115,0.044,0.04197,0.05937,0.17744,0.2189,0.038,0.038,0,0.01541,0.06394,0.00957,0.013,0.309,0.309,0,0,0.07603,0.12356,0.1294,0.438489748,0.569,0.26817,0.5953,0.6938,0.524313596,0.575,0.65617,0.48377,0.5758,0.21534974,0.567,0,0,0,0,0
951,0.197555434,0.178,0.31,0.29643,0.30873,0.31013,0.2441,0.089181754,0.056,0.176,0.33355,0.34039,0.24756,0.2438,0.032507532,0.079,0.031,0.02697,0.04035,0.18964,0.1516,0.02,0.02,0,0.04196,0.05162,0.00551,0.0033,0.174,0.174,0,0,0.04704,0.10828,0.0841,0.24504084,0.314,0.21138,0.4923,0.6074,0.420112471,0.444,0.57303,0.39477,0.4767,0.170568032,0.487,0,0,0,0,0
952,0.093470519,0.214,0.289,0.19659,0.21267,0.18228,0.0802,0.026314081,0.029,0.055,0.03836,0.05407,0.14191,0.132,0.00535577,0.037,0.016,0.01076,0.01746,0.06138,0.0903,0.005,0.005,0,0.0366,0.01101,0.00531,0,0.057,0.057,0,0,0.02879,0.05312,0.0607,0.227537923,0.088,0.26824,0.27916,0.4291,0.24644393,0.174,0.33544,0.23369,0.3224,0.106723222,0.34,0,0,0,0,0
953,0.017483386,0.144,0.246,0.0088,0.01495,0.03337,0,0.008915218,0,0.016,0.01521,0.02991,0.00045,0.0319,0.000238994,0,0.003,0.00088,0.00614,0,0.013,0,0,0,0.00305,0,0,0,0,0,0,0,0,0.00147,0.0159,0.190615103,0.002,0.09428,0.00402,0.166,0.076083361,0.005,0.04139,0.00294,0.1093,0.135711279,0.133,0,0,0,0,0
954,0,0.03,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019253209,0,0,0,0,0,0,0,0,0,0.020216401,0.001,0,0,0,0,0
955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
968,0.009057316,0,0,0,0,0.03364,0.0633,0.003665945,0.007,0,0,0,0.00437,0,0.003538507,0.032,0.002,0,0,0.00488,0,0,0.001,0,0,0,0.03897,0,0.029,0.029,0,0,0,0.04319,0,0,0.069,0.00938,0.01526,0,0,0.095,0.01237,0.03305,0,0.00106551,0.023,0,0,0,0,0
969,0.05259046,0.004,0,0.0707,0.0783,0.15914,0.181,0.035074596,0.038,0.054,0.03368,0.052,0.03432,0.0163,0.062789528,0.127,0.066,0.07875,0.1075,0.02164,0.0085,0.05013645,0.034,0,0.12217,0.29518,0.08457,0.0486,0.11,0.11,0,0,0.06142,0.14064,0.083,0.023003834,0.173,0.05618,0.05613,0.0489,0.009923917,0.3,0.17073,0.11919,0.074,0,0.188,0,0,0,0,0
970,0.331155301,0.072,0.086,0.37475,0.37255,0.31315,0.2769,0.080656007,0.07,0.106,0.08274,0.10586,0.07108,0.0524,0.067411816,0.238,0.097,0.15049,0.17339,0.05904,0.0376,0.087013797,0.127,0,0.44338,0.098,0.20462,0.133,0.147,0.147,0,0,0.06979,0.22607,0.1823,0.059843307,0.249,0.12811,0.10402,0.1134,0.082699305,0.468,0.3628,0.36444,0.2236,0.003892271,0.336,0,0,0,0,0
971,0.47911987,0.177,0.366,0.50021,0.50441,0.34749,0.3694,0.119694932,0.102,0.153,0.21471,0.2532,0.09931,0.0934,0.128263837,0.362,0.087,0.06615,0.07871,0.11834,0.0753,0.159956952,0.33,0,0.22664,0.15265,0.41172,0.2643,0.163,0.163,0,0,0.07766,0.30546,0.2464,0.106267711,0.273,0.25727,0.14634,0.1692,0.342375124,0.581,0.54445,0.56299,0.4634,0.164325547,0.453,0,0,0,0,0
972,0.524857681,0.277,0.517,0.61,0.60373,0.43152,0.3914,0.125681417,0.115,0.148,0.07968,0.09601,0.09583,0.1146,0.033889126,0.242,0.074,0.0704,0.08388,0.17331,0.1174,0.216678095,0.472,0,0.39068,0.47896,0.44353,0.3679,0.151,0.151,0,0,0.08937,0.40636,0.3168,0.13543924,0.265,0.23102,0.22161,0.2038,0.497849818,0.649,0.64573,0.58366,0.584,0.419332649,0.519,0,0,0,0,0
973,0.420098559,0.324,0.627,0.63137,0.62568,0.38333,0.2727,0.223934754,0.112,0.335,0.4393,0.45764,0.09368,0.1128,0.033958519,0.201,0.042,0.03119,0.0439,0.10237,0.1136,0.214299794,0.408,0,0.64242,0.38764,0.25572,0.3234,0.119,0.119,0,0,0.09552,0.45,0.3834,0.259626604,0.226,0.28087,0.19107,0.2243,0.545815415,0.655,0.68309,0.63674,0.6316,0.155636724,0.442,0,0,0,0,0
974,0.289788767,0.318,0.621,0.24137,0.25223,0.24576,0.1827,0.130915171,0.112,0.239,0.30805,0.33563,0.08607,0.1049,0.039828192,0.148,0.038,0.03116,0.04214,0.07524,0.0794,0.251033528,0.205,0,0.09538,0.16806,0.27768,0.197,0.087,0.087,0,0,0.02951,0.15393,0.2809,0.257126188,0.296,0.51311,0.08764,0.17,0.597088984,0.605,0.6589,0.58904,0.6424,0.14245562,0.52,0,0,0,0,0
975,0.106092044,0.247,0.436,0.40966,0.41132,0.19719,0.1247,0.074364639,0.069,0.149,0.1351,0.1553,0.05993,0.0727,0.02198229,0.094,0.034,0.02622,0.03618,0.03434,0.0538,0.06263558,0.052,0,0.06756,0.06846,0.11168,0.1056,0.051,0.051,0,0,0.04424,0.06293,0.1103,0.296299383,0.295,0.33207,0.04508,0.0834,0.486271915,0.482,0.57703,0.47053,0.5446,0.264877195,0.508,0,0,0,0,0
976,0.073503134,0.161,0.325,0.31849,0.32459,0.09263,0.0425,0.032471443,0.014,0.044,0.03296,0.04858,0.029,0.0372,0.00448796,0.029,0.021,0.02382,0.03285,0.02067,0.0303,0.017477309,0.027,0,0.01013,0.06632,0.03846,0.0684,0.014,0.014,0,0,0.0104,0.02018,0.041,0.263210535,0.148,0.14299,0.03044,0.0484,0.340721138,0.271,0.42312,0.26171,0.3683,0.288267158,0.294,0,0,0,0,0
977,0.006461091,0.061,0.273,0.00751,0.01433,0.00434,0,0.002571507,0,0,0,0,0.00022,0.0079,0,0,0.003,0,0.00296,0,0.007,0.003615743,0,0,0.00606,0.01244,0.00016,0.0187,0,0,0,0,0,0.00071,0.0059,0.105684281,0.007,0.17857,0.00155,0.0185,0.132318889,0.019,0.16945,0.09573,0.1388,0.07260597,0.118,0,0,0,0,0
978,0,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006084347,0,0,0,0,0,0,0,0,0,0.002748124,0.002,0,0,0,0,0
979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
992,0.02225384,0,0,0,0,0.00713,0.0122,0.001897861,0.004,0.113,0,0,0.00361,0,0,0.048,0,0,0,0.03583,0,0.024008613,0.154,0,0,0,0.08337,0,0.006,0.006,0,0,0,0.00151,0,0.000416736,0.106,0.01179,0.057,0.0017,0,0.127,0.01108,0.04708,0.0015,0.019652083,0.012,0,0,0,0,0
993,0.081093441,0.003,0.002,0.1087,0.11465,0.10906,0.0425,0.128914921,0.037,0.2,0.2552,0.2817,0.10128,0.0328,0.011174057,0.151,0.023,0.02176,0.03691,0.1637,0.0324,0.158056416,0.364,0,0.203,0.17284,0.24654,0.1181,0.032,0.032,0,0,0.04888,0.10259,0.0244,0.040673446,0.303,0.22452,0.26249,0.1458,0.049619583,0.33,0.20624,0.17228,0.1066,0.141544726,0.087,0,0,0,0,0
994,0.29854451,0.07,0.103,0.2936,0.30153,0.14689,0.0594,0.323337965,0.15,0.343,0.3545,0.36717,0.37366,0.1891,0.026076282,0.28,0.036,0.03496,0.04618,0.2588,0.1033,0.346789133,0.534,0,0.45901,0.4693,0.4235,0.292,0.065,0.065,0,0,0.04467,0.07104,0.0659,0.285964327,0.463,0.45095,0.46804,0.375,0.24644393,0.498,0.40416,0.269,0.2007,0.231757211,0.228,0,0,0,0,0
995,0.158379101,0.147,0.198,0.09039,0.10769,0.17473,0.0636,0.50743811,0.443,0.517,0.52358,0.54346,0.53603,0.4136,0.034120935,0.403,0.034,0.03486,0.0478,0.40644,0.1897,0.442012041,0.617,0,0.58467,0.59979,0.51457,0.3876,0.135,0.135,0,0,0.04449,0.21631,0.1125,0.493832305,0.595,0.61283,0.61343,0.5697,0.421766457,0.62,0.54609,0.39026,0.2988,0.292713143,0.381,0,0,0,0,0
996,0.241216591,0.24,0.169,0.25908,0.2751,0.18031,0.0815,0.381403884,0.442,0.496,0.43132,0.45178,0.43475,0.4495,0.056363929,0.612,0.04,0.03899,0.05289,0.38641,0.257,0.50482995,0.576,0,0.47384,0.66542,0.56984,0.4553,0.235,0.235,0,0,0.04598,0.20538,0.1366,0.628604767,0.671,0.71766,0.69108,0.6912,0.567317235,0.684,0.62175,0.58162,0.5011,0.750916531,0.511,0,0,0,0,0
997,0.272495511,0.295,0.184,0.06083,0.07808,0.27235,0.0862,0.22963232,0.25,0.308,0.22302,0.25727,0.25435,0.3065,0.060290869,0.607,0.041,0.03888,0.05362,0.4483,0.3097,0.516,0.516,0,0.21662,0.40093,0.49908,0.4847,0.245,0.245,0,0,0.0252,0.32564,0.1622,0.704950825,0.668,0.73586,0.70221,0.7445,0.666556401,0.685,0.66975,0.66064,0.6688,0.490067152,0.552,0,0,0,0,0
998,0.366612417,0.371,0.197,0.51185,0.51479,0.16393,0.0551,0.1908712,0.126,0.229,0.19518,0.22548,0.11713,0.1701,0.056359622,0.513,0.051,0.05789,0.07121,0.38175,0.3307,0.20344709,0.425,0,0.442,0.30441,0.31113,0.3661,0.173,0.173,0,0,0.0527,0.22831,0.1724,0.728454742,0.612,0.72262,0.64568,0.7253,0.68805822,0.625,0.67068,0.62519,0.6734,0.244060584,0.523,0,0,0,0,0
999,0.115945858,0.356,0.431,0.22137,0.23461,0.05691,0.0399,0.045450232,0.047,0.156,0.14574,0.16934,0.06495,0.0791,0.044869791,0.343,0.049,0.05081,0.06312,0.24197,0.2519,0.319106993,0.283,0,0.28858,0.30087,0.21061,0.2434,0.11,0.11,0,0,0.04031,0.08093,0.1164,0.618269712,0.495,0.64975,0.52018,0.6268,0.577241151,0.495,0.59522,0.52539,0.5864,0.296234668,0.456,0,0,0,0,0
1000,0.065927013,0.3,0.231,0.04648,0.0597,0.07319,0.0157,0.007885848,0.009,0.034,0.0206,0.03117,0.02211,0.0314,0.015827108,0.129,0.036,0.0362,0.05008,0.15047,0.1762,0.053075756,0.101,0,0.1221,0.05415,0.11672,0.1846,0.042,0.042,0,0,0.0326,0.05057,0.0688,0.454242374,0.279,0.493,0.33763,0.4557,0.415150513,0.272,0.43961,0.29037,0.4013,0.202636672,0.307,0,0,0,0,0
1001,0.005782376,0.132,0.08,0.02405,0.03576,0.00028,0,2.59E-05,0,0.005,0.00186,0.00723,0,0.0028,0.000335453,0.001,0.006,0.00136,0.00793,0.00179,0.0553,0.00552717,0,0,0.04338,0.02661,0.00208,0.0526,0,0,0,0,0.01163,0.00085,0.0195,0.244790798,0.024,0.22616,0.00408,0.1948,0.18690043,0.021,0.11959,0.09059,0.1524,0.199039126,0.111,0,0,0,0,0
1002,0,0.023,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031005168,0,0,0,0,0.021501819,0,0,0,0,0.026040467,0.002,0,0,0,0,0
1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
1016,0.009549807,0,0,0,0,0.00929,0.016,0.019502535,0.01,0.013,0,0,0.0575,0,0.003801835,0.028,0.001,0,0,0.04926,0,0.004077062,0.023,0,0,0,0.02634,0,0.026,0.026,0,0,0,0.0204,0,0.001750292,0.15,0.01675,0.0617,0.0051,0,0.143,0.01273,0.05741,0.004,0.022755557,0.038,0,0,0,0,0
1017,0.057474335,0.005,0.002,0.06915,0.07901,0.09778,0.0853,0.075890757,0.03,0.232,0.24606,0.27988,0.32151,0.1394,0.025348149,0.107,0.041,0.04347,0.06461,0.15336,0.0352,0.106730376,0.106,0,0.13156,0.0732,0.16031,0.0427,0.12,0.12,0,0,0.01338,0.07669,0.0361,0.076012669,0.379,0.23086,0.26918,0.1575,0.0595435,0.363,0.22226,0.26436,0.1461,0.228309133,0.159,0,0,0,0,0
