Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),16.257306591438653,68.15062923131083,6.384267734470908,7.088185673867252,0.0,13.47245340833816,100.00000000000841,38.000000000003205,1.1242405998937568,0.7060468783540896,6151.080404220829,41.65607069392072
Water supply,65.90935744204232,0.0,0.0,0.0,0.0,0.0,160.41189948740185,0.0,0.0,0.279364769753759,2433.8258740947485,41.65607069392072
Electrolyser AEC,7.404916308613455,418.13340919847593,39.170227232820594,8.36015051242459,0.0,47.53037774524518,18.0222769074096,928.1472607315944,0.0,0.279364769753759,2433.8258740947485,41.65607069392072
H2 pipeline to demand,2.9292444308898475,0.0,0.0,0.0,0.0,0.0,18.018018018019532,0.0,0.0,0.7060468783540896,6151.080404220829,41.65607069392072
H2 storage compressor,534.7925714933522,0.0,0.0,0.0,0.0,0.0,143.32476072423796,134.72527508078366,0.0,0.030762242583090835,268.00065738388736,41.65607069392072
H2 storage valve,537.4251334501113,0.0,0.0,0.0,0.0,0.0,143.3205018348464,0.0,0.0,0.03061064497871056,266.6799390545264,41.65607069392072
H2 underground pipe,47.320993239629914,21.803404332619408,1.782272584277893,0.04692709362315018,0.0,1.8291996779010433,239.4463250979227,0.0,0.0,0.5808131729899184,5060.044363088169,41.65607069392072
Solar PV fixed support,814.6614356848144,448.06378962664786,38.44533607823952,7.41341906473181,0.0,45.85875514297133,1100.8900834630078,0.0,0.0,0.15511326331496786,1351.34675,41.65607069392072
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.65607069392072
Charge batteries,87.73825313292444,0.0,0.0,0.0,0.05447418651750036,0.05447418651750036,26.11944232180034,0.0,0.0,0.03417094976255765,297.69731433140225,41.65607069392072
Discharge batteries,70.19060250633954,0.0,0.0,0.0,0.0,0.0,26.101894671173756,0.0,0.0,0.04268499115177374,371.8716429142528,41.65607069392072
Batteries,87.73825313292444,31.74630882780602,3.2334316817082436,0.4453681467280377,0.0,3.678799828436281,392.8020644650864,0.0,0.0,0.5138861483371912,4476.976124313609,41.65607069392072
