Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),15.671117075674415,65.69332278122714,6.154070266598243,6.8326070449940435,0.0,12.986677311592286,99.99999999998563,37.99999999999454,1.1436378935811753,0.7324570746233182,6381.166034118348,44.6290690290254
Water supply,64.22243251835852,0.0,0.0,0.0,0.0,0.0,160.4121570732256,0.0,0.0,0.28670327969802584,2497.758972729201,44.6290690290254
Electrolyser AEC,7.215390293437579,407.4314436995398,38.16768017198013,8.146175641291027,0.0,46.31385581327116,18.0223058471769,928.1487511296102,0.0,0.28670327969802584,2497.758972729201,44.6290690290254
H2 pipeline to demand,2.823624698319714,0.0,0.0,0.0,0.0,0.0,18.018018018018125,0.0,0.0,0.732457074623428,6381.166034119305,44.6290690290254
H2 storage compressor,391.63446041289154,0.0,0.0,0.0,0.0,0.0,157.85356094821353,148.3823472913207,0.0,0.04626532504365554,403.0635117803271,44.6290690290254
H2 storage valve,389.2945310131685,0.0,0.0,0.0,0.0,0.0,157.84927311905477,0.0,0.0,0.046542147373814624,405.475187920673,44.6290690290254
H2 underground pipe,47.642546208496114,21.95156160732075,1.7943833833454716,0.04724596998735441,0.0,1.841629353332826,226.44524908920286,0.0,0.0,0.5455698764708261,4753.004763813837,44.6290690290254
Solar PV fixed support,883.6317179705567,485.99744488380617,41.700167552688114,8.041048633532066,0.0,49.74121618622018,1114.5474747382696,0.0,0.0,0.14478027892561984,1261.32579,44.6290690290254
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6290690290254
Charge batteries,81.8815867203988,0.0,0.0,0.0,0.04717654072442481,0.04717654072442481,22.62034576684894,0.0,0.0,0.03170991825331391,276.25680782287077,44.6290690290254
Discharge batteries,65.50526937631903,0.0,0.0,0.0,0.0,0.0,22.60396944950486,0.0,0.0,0.03960870176521906,345.0710097785884,44.6290690290254
Batteries,81.8815867203988,29.627192775292468,3.0175950306323784,0.41563912235141637,0.0,3.4332341529837946,373.7148463360415,0.0,0.0,0.5238853264892617,4564.088964374448,44.6290690290254
