Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),15.629301756139535,65.51803296173694,6.13764933033727,6.814375565676837,0.0,12.952024896014107,99.99999999999862,37.999999999999474,1.1419950137759018,0.734416722411833,6398.238485651889,44.687357682173015
Water supply,63.9933088411514,0.0,0.0,0.0,0.0,0.0,160.41163126211762,0.0,0.0,0.2877288580919215,2506.69381169682,44.687357682173015
Electrolyser AEC,7.189648248303361,405.9778676369458,38.0315109412527,8.117112872334493,0.0,46.14862381358719,18.022246772298917,928.1457087733942,0.0,0.2877288580919215,2506.69381169682,44.687357682173015
H2 pipeline to demand,2.8160904065116203,0.0,0.0,0.0,0.0,0.0,18.01801801801777,0.0,0.0,0.7344167224118351,6398.2384856519075,44.687357682173015
H2 storage compressor,523.0889028764396,0.0,0.0,0.0,0.0,0.0,157.99738451098963,148.51754144033026,0.0,0.03467021415095127,302.04690568308746,44.687357682173015
H2 storage valve,524.5095741163983,0.0,0.0,0.0,0.0,0.0,157.99315575670894,0.0,0.0,0.03457538200148585,301.22072799694473,44.687357682173015
H2 underground pipe,46.98615867448297,21.649127490384373,1.7696615542703862,0.04659504621857968,0.0,1.8162566004889658,219.30586445297544,0.0,0.0,0.5357503180779772,4667.456771095338,44.687357682173015
Solar PV fixed support,884.8906764378893,486.6898720408391,41.759580063536205,8.052505155584791,0.0,49.812085219120995,1114.679582834059,0.0,0.0,0.14459143250688705,1259.68056,44.687357682173015
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.687357682173015
Charge batteries,81.66310167582907,0.0,0.0,0.0,0.046437611161869834,0.046437611161869834,22.26604165837313,0.0,0.0,0.03129675279584298,272.657310357384,44.687357682173015
Discharge batteries,61.177933664529284,0.0,0.0,0.0,0.0,0.0,22.249709038037963,0.0,0.0,0.04174569204711305,363.6884691144489,44.687357682173015
Batteries,81.66310167582907,29.548138389645427,3.0095431668230894,0.41453007041667594,0.0,3.4240732372397655,366.92951370648905,0.0,0.0,0.5157496092105095,4493.2105954419585,44.687357682173015
