Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),15.790348361480685,66.19314033132703,6.200892564414372,6.884591885605578,0.0,13.08548445001995,100.00000000001343,38.0000000000051,1.0694729219987074,0.7269263670795199,6332.982509996777,40.457063086281686
Water supply,60.51014150828004,0.0,0.0,0.0,0.0,0.0,160.40795900302612,0.0,0.0,0.30428453317243936,2650.926852998292,40.457063086281686
Electrolyser AEC,6.798314398455264,383.88041913757337,35.961448946816105,7.675296955855992,0.0,43.6367459026721,18.02183419398999,928.1244609904843,0.0,0.30428453317243936,2650.926852998292,40.457063086281686
H2 pipeline to demand,2.845107812879403,0.0,0.0,0.0,0.0,0.0,18.018018018020438,0.0,0.0,0.7269263670795199,6332.982509996777,40.457063086281686
H2 storage compressor,516.8143895058691,0.0,0.0,0.0,0.0,0.0,169.0976578351481,158.95179836503922,0.0,0.037556501392622135,327.19224013252403,40.457063086281686
H2 storage valve,519.6594973187485,0.0,0.0,0.0,0.0,0.0,169.09384165917623,0.0,0.0,0.037350038636109716,325.39353659778783,40.457063086281686
H2 underground pipe,42.40195524361533,19.53693089214218,1.5970045676721916,0.04204900166498116,0.0,1.6390535693371728,207.75044541895733,0.0,0.0,0.5623908077548916,4899.5487171606155,40.457063086281686
Solar PV fixed support,808.6057035691014,444.73313696300573,38.159555205118075,7.358311902478822,0.0,45.5178671075969,1125.0907415232334,0.0,0.0,0.15971028466483012,1391.396,40.457063086281686
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.457063086281686
Charge batteries,72.4108385235226,0.0,0.0,0.0,0.03200845934531675,0.03200845934531675,15.34750973125785,0.0,0.0,0.024328563924864665,211.95044891342096,40.457063086281686
Discharge batteries,54.409841391434625,0.0,0.0,0.0,0.0,0.0,15.333027563553145,0.0,0.0,0.032346894325498504,281.806143363743,40.457063086281686
Batteries,72.4108385235226,26.20039447064747,2.6685680535068306,0.3675646574292531,0.0,3.0361327109360836,348.94378495500484,0.0,0.0,0.553138673772732,4818.94412590804,40.457063086281686
