Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),16.666809422765372,69.86726510023243,6.545080086659087,7.266728908325701,0.0,13.811808994984787,100.00000000000182,38.00000000000069,1.1523784479473482,0.6886993351979758,5999.948608244765,42.96252598924759
Water supply,67.77348021937655,0.0,0.0,0.0,0.0,0.0,160.41284830732576,0.0,0.0,0.271682394298698,2366.897019130257,42.96252598924759
Electrolyser AEC,7.614350502646956,429.95952983296564,40.2780837741663,8.596601717488413,0.0,48.87468549165471,18.02238350732805,928.1527506273947,0.0,0.271682394298698,2366.897019130257,42.96252598924759
H2 pipeline to demand,3.0030287248225895,0.0,0.0,0.0,0.0,0.0,18.018018018018346,0.0,0.0,0.6886993351979758,5999.948608244765,42.96252598924759
H2 storage compressor,347.3451465352643,0.0,0.0,0.0,0.0,0.0,140.03494863016041,131.6328517123508,0.0,0.046276162221206285,403.15792527114917,42.96252598924759
H2 storage valve,350.34817526008686,0.0,0.0,0.0,0.0,0.0,140.03058314085058,0.0,0.0,0.04587807328141321,399.68977442767186,42.96252598924759
H2 underground pipe,48.505436776175166,22.349143117215043,1.8268828322521866,0.04810167785998834,0.0,1.874984510112175,230.25869640111395,0.0,0.0,0.544888641913182,4747.069848347642,42.96252598924759
Solar PV fixed support,837.854815163749,460.8201483400619,39.539873305361645,7.624478817990115,0.0,47.16435212335176,1097.8021202746734,0.0,0.0,0.15039639577594124,1310.2534,42.96252598924759
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.96252598924759
Charge batteries,82.5896746367302,0.0,0.0,0.0,0.04908992093499195,0.04908992093499195,23.537778908021725,0.0,0.0,0.03271311174944555,284.99662956116964,42.96252598924759
Discharge batteries,66.07173970938416,0.0,0.0,0.0,0.0,0.0,23.52126097309438,0.0,0.0,0.04086269363538361,355.99578695146204,42.96252598924759
Batteries,82.5896746367302,29.8834000379905,3.0436903063000162,0.41923344742350616,0.0,3.4629237537235222,377.3901593835626,0.0,0.0,0.5245017597156605,4569.459330642834,42.96252598924759
