Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),16.85995391412065,70.67692680799375,6.620928206845222,7.350939906556603,0.0,13.971868113401825,99.99999999999926,37.99999999999972,1.2520837732919468,0.6808097239053602,5931.214314663498,47.39790698190393
Water supply,69.52417256449662,0.0,0.0,0.0,0.0,0.0,160.4188550859094,0.0,0.0,0.26485106086206445,2307.3824422303055,47.39790698190393
Electrolyser AEC,7.811040787621196,441.066040154606,41.31852810004846,8.81866504922433,0.0,50.13719314927279,18.02305836890192,928.187505998449,0.0,0.26485106086206445,2307.3824422303055,47.39790698190393
H2 pipeline to demand,3.037829534075793,0.0,0.0,0.0,0.0,0.0,18.018018018017912,0.0,0.0,0.6808097239053613,5931.214314663508,47.39790698190393
H2 storage compressor,739.0262327041389,0.0,0.0,0.0,0.0,0.0,208.9603007072216,196.42268266478828,0.0,0.032455332539884425,282.7508570874731,47.39790698190393
H2 storage valve,742.0640622382147,0.0,0.0,0.0,0.0,0.0,208.9552603563376,0.0,0.0,0.03232168865999968,281.58655160591724,47.39790698190393
H2 underground pipe,56.00389871140532,25.80410013002895,2.109300892746738,0.05553772265055887,0.0,2.1648386153972967,266.11283746742475,0.0,0.0,0.5454182900889188,4751.684143254661,47.39790698190393
Solar PV fixed support,978.9373796005787,538.4155587803183,46.19781287015073,8.908330154365265,0.0,55.106143024515994,1162.6281946490801,0.0,0.0,0.13632266641393986,1187.6430697982441,47.39790698190393
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.39790698190393
Charge batteries,90.02992921670327,0.0,0.0,0.0,0.053446321044012104,0.053446321044012104,25.62659837743558,0.0,0.0,0.032672787427109565,284.6453240649785,47.39790698190393
Discharge batteries,72.02394337336263,0.0,0.0,0.0,0.0,0.0,25.60859239159224,0.0,0.0,0.04081228823246363,355.55665508122314,47.39790698190393
Batteries,90.02992921670327,32.57550537653054,3.3178871818910127,0.4570009236969074,0.0,3.77488810558792,405.51707571745663,0.0,0.0,0.5170164614842417,4504.247412450714,47.39790698190393
