Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),16.27694118477004,68.232937446556,6.391978267576744,7.096746356559736,0.0,13.48872462413648,99.99999999999861,37.99999999999947,1.1531209953159038,0.7051951861858171,6143.660462050839,44.17502746627534
Water supply,66.13003059068393,0.0,0.0,0.0,0.0,0.0,160.41092207422025,0.0,0.0,0.2784308446609512,2425.6895186862066,44.17502746627534
Electrolyser AEC,7.42970893686334,419.53337453786224,39.30137427645663,8.388141389718712,0.0,47.68951566617534,18.022167095038647,928.1416053944903,0.0,0.2784308446609512,2425.6895186862066,44.17502746627534
H2 pipeline to demand,2.932782195454061,0.0,0.0,0.0,0.0,0.0,18.018018018017766,0.0,0.0,0.7051951861858171,6143.660462050839,44.17502746627534
H2 storage compressor,444.3083212114974,0.0,0.0,0.0,0.0,0.0,145.5751866109214,136.84067541426612,0.0,0.037608415971651266,327.6445199450258,44.17502746627534
H2 storage valve,444.64091360206714,0.0,0.0,0.0,0.0,0.0,145.57103753390095,0.0,0.0,0.037579213707337536,327.3901098183246,44.17502746627534
H2 underground pipe,46.10085578289821,21.24121938067263,1.7363179795811707,0.04571711258206735,0.0,1.7820350921632382,218.04869078805885,0.0,0.0,0.5429084850927058,4729.818722127653,44.17502746627534
Solar PV fixed support,865.5795433306893,476.0687488318791,40.848253014240164,7.8767738443092705,0.0,48.725026858549434,1102.999356270864,0.0,0.0,0.14626836547291092,1274.29,44.17502746627534
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.17502746627534
Charge batteries,85.3773105397535,0.0,0.0,0.0,0.04699003262896099,0.04699003262896099,22.53091831958543,0.0,0.0,0.030291344931156764,263.89819704023773,44.17502746627534
Discharge batteries,68.3018484318028,0.0,0.0,0.0,0.0,0.0,22.51384285747748,0.0,0.0,0.03783548511252263,329.6227463002972,44.17502746627534
Batteries,85.3773105397535,30.892049596385327,3.146423491929404,0.4333837660308427,0.0,3.5798072579602467,379.78904571870976,0.0,0.0,0.5106015130745892,4448.360381905822,44.17502746627534
