Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),16.52156471945634,69.25839930396097,6.488042282289514,7.203402217682964,0.0,13.691444499972476,100.00000000000993,38.00000000000377,1.1342317034702236,0.6947538422806548,6052.695473949065,41.72205768225109
Water supply,67.37720762317772,0.0,0.0,0.0,0.0,0.0,160.4129703566507,0.0,0.0,0.27328047621487456,2380.819508783987,41.72205768225109
Electrolyser AEC,7.569829276464017,427.44554975409363,40.042577189947245,8.546337253127874,0.0,48.58891444307512,18.022397219569708,928.1534568078398,0.0,0.27328047621487456,2380.819508783987,41.72205768225109
H2 pipeline to demand,2.9768585080101513,0.0,0.0,0.0,0.0,0.0,18.01801801801789,0.0,0.0,0.694753842280581,6052.695473948422,41.72205768225109
H2 storage compressor,589.2740908995053,0.0,0.0,0.0,0.0,0.0,138.84148483557766,130.51099574544298,0.0,0.027044816326139018,235.61443983332313,41.72205768225109
H2 storage valve,592.2509494075155,0.0,0.0,0.0,0.0,0.0,138.83710563402587,0.0,0.0,0.02690803097386431,234.42276584430587,41.72205768225109
H2 underground pipe,48.65779502006194,22.419343004568404,1.8326211716757284,0.04825276787491951,0.0,1.880873939550648,225.89487754213494,0.0,0.0,0.5328881852983205,4642.5218703189685,41.72205768225109
Solar PV fixed support,812.8322233911235,447.0577228651179,38.35901226529227,7.396773232859223,0.0,45.755785498151496,1096.6809414487814,0.0,0.0,0.15486793847566574,1349.20948,41.72205768225109
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.72205768225109
Charge batteries,82.44447747339423,0.0,0.0,0.0,0.049316221868398354,0.049316221868398354,23.646286341640387,0.0,0.0,0.03292179510989502,286.8146789974054,41.72205768225109
Discharge batteries,65.95558197871539,0.0,0.0,0.0,0.0,0.0,23.629797446145705,0.0,0.0,0.04112354783594544,358.26834874675666,41.72205768225109
Batteries,82.44447747339423,29.83086338694502,3.038339332337572,0.41849641210269645,0.0,3.4568357444402684,375.6539250908237,0.0,0.0,0.5230081956797457,4556.447400761944,41.72205768225109
