,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed
Locations,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2014,Utrecht2015,Utrecht2016,Utrecht2017
Profile time series,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,RN-SARAH,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,RN-SARAH,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,PV-MEAS,PV-MEAS,PV-MEAS,PV-MEAS
Subsets,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed
Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2631,0.50314,0.4268,0.59712,0.41617,0.567,0.536,0.64951,0.57917,0.6519,0.57684,0.6,0.625,0.48953,0.37008,0.19152,0.34306,0.589,0.65246,0.51959,0.65152,0.51962,0.54,0.497422613,0.568543191,0.462476122,0.561609249
2632,0.38069,0.26366,0.39814,0.2603,0.384,0.384,0.45814,0.3938,0.46936,0.39079,0.426,0.448,0.33589,0.30121,0.21536,0.29225,0.428,0.47475,0.35937,0.4774,0.35398,0.398,0.289022576,0.333497498,0.371910871,0.34053407
2633,0.24033,0.12613,0.24112,0.12683,0.181,0.228,0.2534,0.17465,0.25571,0.17236,0.222,0.261,0.2542,0.16222,0.2463,0.16065,0.229,0.2634,0.16012,0.26125,0.15114,0.214,0.102147196,0.118904135,0.137143078,0.114134869
2634,0.06739,0.02128,0.06394,0.02102,0.057,0.081,0.06152,0.02328,0.06722,0.02317,0.051,0.087,0.06018,0.02049,0.05934,0.02134,0.048,0.05704,0.03558,0.05899,0.03013,0.056,0.02694601,0.035845247,0.024385105,0.035915609
2635,0.00758,0.00075,0.00758,0.00065,0.003,0.015,0.00649,0.00147,0.00711,0.00118,0.003,0.016,0.00794,0.00128,0.00794,0.00107,0.003,0.00792,0.00136,0.00856,0.00116,0.004,0.000948215,0.00406016,0.003310264,0.003806972
2636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001110426,0.001916088,0.001296462,0
2646,0.00132,0.04436,0.00526,0.04419,0.051,0.02,0.01492,0.05236,0.01361,0.0536,0.025,0.039,0.01458,0.03204,0.0144,0.03367,0.079,0.00186,0.00977,0.00186,0.01124,0.022,0.04696266,0.050598439,0.04799932,0.028719815
2647,0.17652,0.14557,0.18105,0.14047,0.131,0.21,0.18261,0.25312,0.18811,0.25339,0.107,0.214,0.19331,0.14223,0.19979,0.13681,0.291,0.06355,0.06024,0.04914,0.06689,0.105,0.195543424,0.238023056,0.252486099,0.049771657
2648,0.30935,0.20947,0.34283,0.22352,0.275,0.353,0.41329,0.45512,0.41709,0.45843,0.359,0.431,0.42442,0.33537,0.42707,0.34946,0.505,0.08474,0.14205,0.08474,0.17264,0.188,0.332098079,0.474605657,0.49953843,0.090438478
2649,0.56393,0.279,0.58232,0.25089,0.509,0.441,0.59108,0.62019,0.60561,0.59426,0.671,0.607,0.5467,0.49282,0.51592,0.51115,0.676,0.23374,0.27021,0.2208,0.25785,0.277,0.180321887,0.637936555,0.733585933,0.162823736
2650,0.08784,0.28811,0.12299,0.28612,0.701,0.138,0.72042,0.74465,0.72685,0.73996,0.784,0.724,0.67717,0.62172,0.69965,0.6343,0.793,0.24932,0.43061,0.23617,0.39417,0.34,0.151774097,0.754932739,0.669679554,0.214161731
2651,0.26204,0.42155,0.19149,0.4098,0.725,0.166,0.81126,0.81748,0.81725,0.81741,0.838,0.798,0.82682,0.73084,0.83846,0.73843,0.857,0.22323,0.50918,0.22058,0.51148,0.349,0.224904627,0.804978319,0.829170166,0.233966001
2652,0.08812,0.55427,0.08551,0.56787,0.609,0.086,0.83778,0.83197,0.84893,0.83204,0.848,0.823,0.84688,0.7855,0.85485,0.78742,0.869,0.11464,0.36563,0.30317,0.36351,0.392,0.151919463,0.803842876,0.842893678,0.234373415
2653,0.10083,0.393,0.11912,0.32325,0.473,0.089,0.82248,0.80035,0.81995,0.79972,0.811,0.798,0.82834,0.7731,0.84364,0.7675,0.832,0.13684,0.26066,0.12439,0.22211,0.286,0.113198069,0.795494223,0.800595472,0.100210304
2654,0.08183,0.22012,0.0638,0.22373,0.338,0.068,0.75677,0.72015,0.77181,0.71897,0.73,0.732,0.75835,0.68645,0.76511,0.68357,0.747,0.06984,0.28847,0.07333,0.23938,0.275,0.088529342,0.717250773,0.712101745,0.179806864
2655,0.04457,0.21437,0.09162,0.21047,0.198,0.065,0.66129,0.58627,0.6633,0.58416,0.603,0.625,0.64457,0.57731,0.65346,0.57679,0.614,0.09627,0.29369,0.11847,0.23831,0.233,0.137578385,0.582335298,0.571560282,0.177332212
2656,0.06835,0.17965,0.10744,0.18533,0.125,0.072,0.47927,0.4,0.48695,0.39712,0.432,0.463,0.48041,0.4029,0.48563,0.40014,0.435,0.1061,0.2149,0.10699,0.19922,0.217,0.080012248,0.363928174,0.354739185,0.09532103
2657,0.02127,0.08312,0.11876,0.08967,0.086,0.059,0.26083,0.17965,0.26372,0.17758,0.231,0.272,0.26702,0.18093,0.26797,0.17832,0.229,0.09807,0.12177,0.09021,0.11346,0.175,0.049504486,0.106419878,0.112659646,0.028443818
2658,0.06742,0.02377,0.06863,0.0269,0.033,0.051,0.06239,0.02115,0.06165,0.02095,0.05,0.087,0.06224,0.02089,0.06192,0.02069,0.048,0.0369,0.02003,0.03608,0.02113,0.056,0.006899115,0.022294415,0.025775981,0.008743167
2659,0.0065,0.0006,0.00837,0.00076,0.001,0.01,0.00783,0.00164,0.00783,0.00143,0.004,0.019,0.00852,0.00152,0.00852,0.00131,0.004,0.00111,0.0002,0.00309,9.00E-05,0.001,0,0.002587704,0.003539701,0.00036844
2660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001200381,0.001877852,0.001493009,6.27E-05
2670,0.01638,0.04352,0.01576,0.0464,0.055,0.027,0.01755,0.05335,0.01835,0.05499,0.038,0.028,0.01608,0.05366,0.01536,0.05501,0.055,0.00239,0.01454,0.00352,0.01577,0.075,0.04712357,0.053616728,0.046572226,0.046843679
2671,0.13069,0.20859,0.11544,0.20872,0.192,0.146,0.15409,0.20675,0.12209,0.21759,0.15,0.131,0.17613,0.26202,0.20265,0.26484,0.293,0.15879,0.07114,0.12674,0.06479,0.268,0.190059403,0.149150063,0.254029366,0.127975894
2672,0.32464,0.36085,0.33713,0.37523,0.357,0.335,0.22766,0.28391,0.31729,0.31866,0.224,0.249,0.43921,0.48324,0.43215,0.48732,0.507,0.4192,0.20557,0.41682,0.19476,0.471,0.311144738,0.264055665,0.467787331,0.436666133
2673,0.37873,0.50283,0.28495,0.51477,0.498,0.36,0.26268,0.26098,0.26125,0.26501,0.573,0.317,0.63168,0.65706,0.62534,0.66091,0.674,0.51949,0.5485,0.46945,0.52398,0.584,0.291910793,0.283611914,0.657068503,0.44437294
2674,0.65045,0.6464,0.56375,0.65342,0.571,0.572,0.37901,0.3288,0.3122,0.32919,0.702,0.352,0.74441,0.77782,0.75899,0.7789,0.786,0.60461,0.53569,0.67146,0.52422,0.687,0.474329445,0.345652492,0.766328347,0.633658571
2675,0.56204,0.64544,0.68224,0.66925,0.58,0.628,0.3356,0.31429,0.37411,0.36302,0.794,0.413,0.84571,0.82838,0.8546,0.83198,0.847,0.49714,0.68395,0.55169,0.68407,0.681,0.525354145,0.346711295,0.82740533,0.367323439
2676,0.36918,0.68498,0.52645,0.69925,0.618,0.49,0.51155,0.49414,0.46609,0.53932,0.823,0.539,0.84877,0.8408,0.86019,0.84285,0.86,0.08699,0.70241,0.08431,0.71466,0.639,0.602535297,0.595761754,0.829789908,0.312590896
2677,0.68357,0.60711,0.51226,0.6289,0.65,0.511,0.65082,0.51846,0.58729,0.54278,0.806,0.626,0.84187,0.811,0.8558,0.81036,0.824,0.78458,0.63004,0.77635,0.66216,0.69,0.590614426,0.52627059,0.775318973,0.404864846
2678,0.61527,0.57937,0.5366,0.61211,0.607,0.563,0.68714,0.44792,0.71007,0.48214,0.734,0.654,0.7693,0.72068,0.76982,0.72214,0.741,0.53727,0.6279,0.46538,0.62809,0.678,0.501485559,0.644378037,0.704593352,0.424737834
2679,0.40706,0.50697,0.35262,0.50905,0.496,0.43,0.62216,0.43125,0.59744,0.46129,0.607,0.58,0.64589,0.53207,0.65073,0.53302,0.609,0.35679,0.53653,0.28476,0.52983,0.56,0.388071279,0.526594198,0.574983008,0.200612127
2680,0.36017,0.30726,0.39259,0.30932,0.335,0.389,0.47013,0.29004,0.46497,0.30079,0.432,0.45,0.33906,0.36012,0.46109,0.37114,0.429,0.1016,0.28688,0.1034,0.29213,0.403,0.27600043,0.316002279,0.234359659,0.190807233
2681,0.15265,0.14583,0.21756,0.14269,0.178,0.212,0.26584,0.14524,0.26613,0.14174,0.231,0.276,0.21811,0.13894,0.14772,0.14449,0.219,0.17935,0.13766,0.10444,0.14236,0.224,0.103394373,0.113800101,0.097637423,0.110773742
2682,0.04095,0.0253,0.03768,0.0263,0.059,0.047,0.06169,0.03842,0.06345,0.03811,0.055,0.089,0.07111,0.04282,0.0757,0.04052,0.058,0.0731,0.0263,0.03851,0.02741,0.06,0.029940984,0.025731252,0.044956262,0.044697569
2683,0.00765,0.00127,0.00765,0.00098,0.003,0.005,0.01049,0.00178,0.00982,0.00137,0.005,0.021,0.00904,0.0033,0.00904,0.0029,0.004,0.00801,0.00243,0.0003,0.00217,0.005,0.007439557,0.003852922,0.003192828,0.002075867
2684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000619579,0.000335392,0.00038731,0.001011087
2694,0.02021,0.04877,0.02172,0.05049,0.073,0.023,0.0176,0.04985,0.01822,0.05215,0.021,0.017,0.01745,0.03992,0.01907,0.04115,0.025,0.02072,0.05011,0.02208,0.05016,0.073,0.059354962,0.028589683,0.041541338,0.046960725
2695,0.05112,0.19134,0.06814,0.20248,0.257,0.063,0.09289,0.11169,0.08579,0.12085,0.085,0.083,0.12398,0.10242,0.14915,0.11159,0.094,0.16786,0.24967,0.18939,0.25636,0.233,0.143383187,0.076194435,0.231324986,0.260314368
2696,0.14662,0.37306,0.16611,0.37759,0.454,0.177,0.18865,0.19407,0.18594,0.20207,0.195,0.169,0.31536,0.20977,0.36356,0.22217,0.201,0.39097,0.45914,0.38828,0.45135,0.412,0.195426335,0.113314838,0.485719884,0.365024109
2697,0.422,0.47534,0.38127,0.48019,0.61,0.445,0.20704,0.35875,0.1975,0.34538,0.379,0.201,0.59475,0.36482,0.57879,0.3853,0.331,0.164,0.49954,0.26364,0.49165,0.516,0.517652249,0.130855332,0.625401852,0.351926432
2698,0.70747,0.69791,0.69608,0.69349,0.696,0.704,0.24199,0.45777,0.2024,0.49262,0.785,0.225,0.6094,0.48434,0.61102,0.51182,0.479,0.21118,0.50107,0.27923,0.553,0.616,0.672283315,0.2538456,0.624694545,0.545597411
2699,0.78029,0.76058,0.77256,0.76902,0.714,0.781,0.21855,0.56998,0.32551,0.60133,0.85,0.294,0.6369,0.54565,0.58838,0.57406,0.552,0.66906,0.36951,0.45715,0.41726,0.65,0.779376847,0.610622493,0.425537851,0.159415421
2700,0.74139,0.75079,0.73457,0.75224,0.696,0.739,0.57247,0.55048,0.82529,0.58208,0.863,0.65,0.57217,0.57068,0.5741,0.60331,0.604,0.09471,0.59241,0.10554,0.53826,0.753,0.804011923,0.772018032,0.499250656,0.174596068
2701,0.65125,0.68196,0.60639,0.69538,0.651,0.646,0.82145,0.60293,0.81619,0.60816,0.824,0.822,0.64212,0.50243,0.60036,0.54512,0.552,0.33166,0.51213,0.22732,0.51943,0.699,0.595955615,0.801931906,0.464547962,0.399126338
2702,0.57516,0.49951,0.55996,0.5063,0.565,0.544,0.75645,0.57873,0.75141,0.60907,0.739,0.756,0.36338,0.45579,0.40009,0.49609,0.421,0.63641,0.41043,0.51802,0.43228,0.569,0.483593299,0.709893759,0.303976691,0.350421038
2703,0.27875,0.46201,0.18937,0.46272,0.469,0.317,0.64578,0.51538,0.64173,0.52994,0.607,0.638,0.45803,0.38886,0.35677,0.41506,0.279,0.44994,0.33222,0.43308,0.32355,0.563,0.508431832,0.570091821,0.271779179,0.423259604
2704,0.24748,0.23869,0.3408,0.23779,0.316,0.272,0.47592,0.38639,0.4783,0.38734,0.432,0.47,0.26405,0.24721,0.26511,0.26712,0.169,0.45654,0.24085,0.22137,0.23592,0.38,0.328859035,0.351117163,0.182918854,0.175107327
2705,0.18984,0.12954,0.19096,0.12068,0.185,0.201,0.26346,0.1735,0.26269,0.17516,0.232,0.276,0.13456,0.10851,0.1612,0.12054,0.086,0.04846,0.13754,0.0476,0.12824,0.223,0.051525103,0.109991165,0.081403662,0.018696269
2706,0.07172,0.02517,0.06101,0.02656,0.061,0.086,0.06283,0.02679,0.06333,0.02496,0.057,0.09,0.07656,0.03018,0.07239,0.03326,0.029,0.01206,0.02298,0.03913,0.02434,0.063,0.029892922,0.025600827,0.028559264,0.025727704
2707,0.01087,0.00152,0.01153,0.00115,0.005,0.017,0.01038,0.00237,0.01104,0.00209,0.006,0.022,0.00729,0.0021,0.00793,0.00192,0.001,0.0106,0.00259,0.00796,0.00208,0.007,0.001968238,0.004192318,0.001723102,0.007252367
2708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2717,0,0,0,8.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267606,0.002741093,0.002591615,0.001134262
2718,0.00133,0.04125,0.00788,0.04594,0.03,0.01,0.02463,0.05191,0.02479,0.05397,0.08,0.038,0.00947,0.04267,0.0074,0.04309,0.039,0.00669,0.02641,0.02107,0.02484,0.058,0.037839978,0.055854431,0.03254702,0.057807935
2719,0.10712,0.13056,0.08149,0.14137,0.114,0.103,0.17419,0.23469,0.15296,0.23909,0.267,0.187,0.08898,0.18191,0.06223,0.18597,0.2,0.13149,0.13236,0.11096,0.13239,0.198,0.115797076,0.194944087,0.050021425,0.146968674
2720,0.26007,0.17566,0.28003,0.20732,0.198,0.253,0.39696,0.43363,0.39484,0.4386,0.442,0.413,0.07332,0.39546,0.08688,0.38832,0.387,0.27134,0.32213,0.2177,0.31383,0.433,0.277907151,0.407876671,0.172894526,0.329278666
2721,0.48227,0.45549,0.40331,0.46836,0.304,0.435,0.57033,0.61866,0.57132,0.62875,0.601,0.579,0.36009,0.54511,0.27013,0.55084,0.497,0.55452,0.41756,0.60824,0.40793,0.581,0.478622914,0.567742934,0.210004765,0.598010477
2722,0.37291,0.60791,0.49788,0.59648,0.353,0.441,0.69591,0.717,0.68814,0.72906,0.688,0.698,0.07999,0.68642,0.07909,0.67947,0.541,0.72814,0.60947,0.761,0.61083,0.683,0.485562681,0.658724875,0.521027287,0.630442059
2723,0.27301,0.63131,0.22272,0.65793,0.404,0.309,0.79194,0.72058,0.78355,0.74678,0.682,0.758,0.58505,0.70181,0.61466,0.68733,0.567,0.59919,0.5944,0.59899,0.59217,0.704,0.328798915,0.557721295,0.308198914,0.324003385
2724,0.46754,0.71991,0.40643,0.73786,0.484,0.449,0.81413,0.73185,0.70903,0.73134,0.681,0.756,0.62749,0.72886,0.61562,0.71354,0.586,0.18366,0.51307,0.12087,0.53419,0.522,0.380370372,0.66437796,0.515018365,0.177699887
2725,0.69194,0.67516,0.67115,0.66455,0.512,0.672,0.74976,0.69165,0.76142,0.6861,0.701,0.744,0.2546,0.69609,0.17557,0.67048,0.568,0.22591,0.30757,0.24363,0.28977,0.476,0.601726856,0.757687442,0.532664822,0.194773256
2726,0.74587,0.63569,0.70688,0.62117,0.372,0.696,0.74351,0.64475,0.74437,0.62841,0.688,0.699,0.55641,0.65788,0.66278,0.66163,0.539,0.1225,0.17737,0.12876,0.18025,0.434,0.645339041,0.649333895,0.620376828,0.088440661
2727,0.53366,0.41026,0.29735,0.3902,0.23,0.34,0.61308,0.55992,0.60951,0.55217,0.534,0.561,0.52368,0.50852,0.63332,0.50524,0.46,0.11103,0.19935,0.08084,0.18463,0.237,0.330034333,0.48364319,0.506587288,0.119993435
2728,0.02537,0.19573,0.02537,0.20046,0.165,0.047,0.41176,0.37543,0.41701,0.36852,0.349,0.372,0.23395,0.37824,0.39789,0.37303,0.331,0.13195,0.17771,0.15094,0.1526,0.104,0.021284079,0.268558131,0.313557575,0.142968534
2729,0.0984,0.08175,0.01936,0.08407,0.11,0.064,0.15214,0.15077,0.15128,0.15388,0.183,0.175,0.27964,0.17023,0.25248,0.16928,0.198,0.07311,0.10001,0.06523,0.08601,0.075,0.062692664,0.11410883,0.097635959,0.080097263
2730,0.01957,0.03734,0.01808,0.0352,0.04,0.018,0.07443,0.03915,0.07636,0.03826,0.058,0.091,0.0346,0.02489,0.07915,0.02592,0.071,0.02964,0.02427,0.01935,0.02402,0.032,0.033935618,0.048357829,0.041967529,0.026633524
2731,0,0.00242,0,0.00235,0.001,0,0.01143,0.00407,0.01277,0.0038,0.005,0.021,0.00874,0.00291,0.01216,0.00249,0.006,0.0066,0.0007,0.00915,0.00044,0.001,0.002335274,0.003860438,0.007035099,0
2732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2741,0,0.00041,0,0.00055,0,0,0,0,0,0,0,0,0,0.00014,0,0.0003,0,0,0.00021,0,0.00028,0.001,0.00404035,0,0.003595302,0.002403388
2742,0.01755,0.05348,0.00083,0.0546,0.067,0.024,0.00404,0.01319,0.00589,0.00878,0.01,0.002,0.02572,0.05274,0.02556,0.05275,0.03,0.02274,0.05848,0.01732,0.06127,0.08,0.036104186,0.007008751,0.06183229,0.059566233
2743,0.2012,0.22897,0.18883,0.23768,0.231,0.215,0.06878,0.05093,0.03399,0.04118,0.061,0.041,0.20912,0.21859,0.18198,0.22794,0.093,0.15427,0.22717,0.19379,0.23582,0.214,0.189928245,0.038865042,0.287996832,0.215415255
2744,0.37658,0.41902,0.38492,0.43158,0.429,0.392,0.11266,0.12031,0.13049,0.09729,0.162,0.113,0.42039,0.39461,0.44091,0.41581,0.141,0.44204,0.37244,0.43832,0.39233,0.261,0.419777164,0.061600217,0.543273935,0.277207755
2745,0.56126,0.60178,0.55738,0.61604,0.597,0.558,0.13383,0.23456,0.13607,0.20021,0.19,0.152,0.63268,0.57498,0.52367,0.58214,0.181,0.17235,0.52117,0.09884,0.50524,0.382,0.589135418,0.085031538,0.488180228,0.542743122
2746,0.70898,0.69977,0.69668,0.71656,0.716,0.672,0.42535,0.29503,0.38352,0.27255,0.18,0.362,0.52482,0.61327,0.12237,0.62705,0.214,0.70121,0.73735,0.34758,0.7381,0.473,0.711357637,0.208563406,0.274536367,0.462900397
2747,0.70154,0.80161,0.75578,0.80718,0.78,0.708,0.2783,0.33876,0.22716,0.31806,0.188,0.327,0.12835,0.62091,0.4695,0.6233,0.276,0.5026,0.82186,0.66388,0.8133,0.595,0.65559229,0.155036913,0.386344953,0.642319578
2748,0.82483,0.82082,0.80232,0.82483,0.771,0.775,0.40078,0.25688,0.36874,0.24637,0.263,0.338,0.35779,0.76765,0.31539,0.76639,0.295,0.88582,0.73105,0.55606,0.76787,0.604,0.755463099,0.231582901,0.579306491,0.584360282
2749,0.83593,0.76534,0.75401,0.77015,0.709,0.763,0.17407,0.26133,0.17762,0.23147,0.332,0.173,0.26873,0.64529,0.7218,0.62909,0.308,0,0.74792,0,0.75676,0.541,0.695210741,0.041000503,0.67491288,0.780838813
2750,0.71985,0.64156,0.65605,0.64589,0.619,0.674,0.07293,0.46104,0.08774,0.38127,0.391,0.065,0.11916,0.56975,0.65078,0.57915,0.315,0,0.67481,0,0.6704,0.469,0.558424306,0.093428607,0.646965614,0.523631432
2751,0.59149,0.50911,0.6075,0.50798,0.502,0.576,0.1164,0.29073,0.07877,0.30037,0.258,0.101,0.51252,0.4798,0.49643,0.46404,0.294,0.34742,0.57519,0.31644,0.56406,0.403,0.437881733,0.123095021,0.457023485,0.529357737
2752,0.39977,0.3457,0.38448,0.34678,0.345,0.358,0.21818,0.17764,0.22713,0.14952,0.219,0.205,0.34122,0.35361,0.49722,0.34859,0.22,0.50495,0.40357,0.49705,0.40326,0.347,0.249387548,0.193871657,0.303904331,0.367088316
2753,0.03516,0.12833,0.04966,0.13824,0.183,0.076,0.17188,0.08782,0.17058,0.10179,0.162,0.184,0.28096,0.16386,0.24458,0.15873,0.136,0.2127,0.16816,0.16615,0.17201,0.214,0.062509636,0.129940366,0.082033145,0.103145214
2754,0.03131,0.03406,0.01692,0.0339,0.057,0.027,0.07982,0.02747,0.07363,0.02738,0.052,0.089,0.0677,0.02619,0.07234,0.02625,0.056,0.06136,0.03385,0.06818,0.03416,0.074,0.019985514,0.052917372,0.047310181,0.024629884
2755,0.01331,0.0017,0.00873,0.00175,0.003,0.012,0.01374,0.00351,0.01305,0.00282,0.006,0.023,0.00324,0.00291,0.00217,0.0024,0.004,0.01421,0.00613,0.01421,0.00567,0.008,0.000368631,0.011389489,0.008702897,0.006588075
2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
