,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed
Locations,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2014,Utrecht2015,Utrecht2016,Utrecht2017
Profile time series,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,RN-SARAH,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,RN-SARAH,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,PV-MEAS,PV-MEAS,PV-MEAS,PV-MEAS
Subsets,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed
Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.61E-05
33,0,0.01143,0.00133,0.0115,0.011,0,0,0.01721,0.00041,0.00881,0.037,0.001,0,0.00085,0.00138,0.0009,0.001,0,0.16019,0,0.16717,0.112,0.003695315,0.019401503,0.001,0.032206602
34,0.06062,0.01354,0.10177,0.02398,0.021,0.036,0.09816,0.10162,0.09223,0.08692,0.064,0.065,0,0.00545,0,0.00571,0.008,0.35831,0.31199,0.36029,0.31223,0.281,0.021833256,0.050659921,0.008,0.043980976
35,0.08236,0.00884,0.04263,0.0065,0.044,0.071,0.5144,0.37204,0.47993,0.36266,0.097,0.395,0.05032,0.01289,0.04168,0.01208,0.019,0.52309,0.4556,0.49244,0.45286,0.347,0.021991625,0.149852736,0.019,0.302289687
36,0.05962,0.06521,0.11148,0.04617,0.109,0.098,0.53612,0.47044,0.49879,0.47018,0.143,0.485,0.05958,0.10064,0.04074,0.06897,0.034,0.58202,0.49291,0.54606,0.48391,0.315,0.058644174,0.431932159,0.034,0.448581346
37,0.25696,0.24375,0.243,0.19991,0.093,0.111,0.49456,0.46699,0.47505,0.47256,0.397,0.435,0.04845,0.21519,0.05844,0.14747,0.044,0.53104,0.45681,0.50197,0.45381,0.18,0.186445364,0.338736607,0.044,0.357678074
38,0.08948,0.25631,0.1055,0.24597,0.083,0.087,0.31711,0.35999,0.21396,0.35317,0.323,0.287,0.0108,0.13148,0.00666,0.10426,0.041,0.39848,0.34958,0.35063,0.3488,0.095,0.174802751,0.151808147,0.041,0.160310434
39,0.2405,0.17748,0.18177,0.17313,0.035,0.117,0.24671,0.19294,0.21592,0.18912,0.139,0.179,0.00239,0.02776,0.00186,0.02103,0.024,0.02005,0.1585,0.02244,0.1595,0.027,0.052022384,0.042750248,0.024,0.027940523
40,0.01868,0,0.02986,0,0,0.007,0.01797,9.00E-05,0.01228,0,0.002,0.008,0.00564,0,0.00043,0,0,0,0.00031,0,0.00019,0,0.001282703,0.005511676,0,0.000688505
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
