Time,Ammonia produced (H2 end-user) (kg/h),Water supply (kg/h),H2_from_AEC (kg/h),H2_pipeline_to_demand (kg/h),H2_to_storage (kg/h),H2_from_storage (kg/h),H2_storage_undergroundpipes (kg),PV fixed support (kWh),Power_to_the_grid (kWh),Electricity_to_batteries (kWh),Electricity_from_batteries (kWh),Electricity_stored (kWh),Electricity consumption
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,336.6467236439898,539.8937901490112,60.657067323241414,60.657067323241414,0.0,0.0,0.0,3251.764722131649,0.0,0.0,0.0,0.0,3251.764722131649
9,15671.117075674414,27729.11510987795,3115.3660825947877,2823.6246983197143,291.74138427507285,0.0,291.74138427507285,166670.61464360642,0.0,0.0,0.0,0.0,166670.61464360642
10,15671.117075674414,54752.647621221135,6151.459960244195,2823.6246983197143,3327.8352619244793,0.0,3619.5766461995527,325883.3775875413,0.0,0.0,0.0,0.0,325883.3775875413
11,15671.117075674414,64222.43251835851,7215.390293437579,2823.6246983197143,4391.765595117864,0.0,8011.342241317417,429904.50342703523,0.0,48228.619166832825,0.0,48228.619166832825,381675.8842602024
12,15671.117075674414,64222.43251835851,7215.390293437579,2823.6246983197143,74560.74007730368,70168.97448218582,12403.107836435282,481287.6878270231,0.0,33652.96755356598,0.0,81881.5867203988,447634.72027345706
13,15671.117075674414,64222.43251835851,7215.390293437579,2823.6246983197143,112016.22877644643,107624.46318132857,16794.87343155314,482842.87965065124,0.0,0.0,0.0,81881.5867203988,482842.87965065124
14,15671.117075674414,64222.43251835851,7215.390293437579,2823.6246983197143,55003.18229249512,50611.41669737725,21186.639026671008,429250.615955737,0.0,0.0,0.0,81881.5867203988,429250.615955737
15,15671.117075674414,52498.43686727792,5898.199382038674,2823.6246983197143,3074.5746837189586,0.0,24261.213710389966,312602.39286644384,0.0,0.0,0.0,81881.5867203988,312602.3928664438
16,13810.748877318787,22148.849320325055,2488.42322113852,2488.42322113852,0.0,0.0,24261.213710389966,133401.88046201493,0.0,0.0,0.0,81881.5867203988,133401.88046201493
17,4168.0352051018335,6684.4444526264615,750.997334252583,750.997334252583,0.0,0.0,24261.213710389966,0.0,0.0,0.0,40260.21609194672,41621.37062845208,40260.21609194672
18,15671.117075674414,0.0,0.0,2823.6246983197143,0.0,2823.6246983197143,21437.58901207025,0.0,0.0,0.0,5955.024488756278,35666.3461396958,5955.024488756278
19,0.0,0.0,0.0,0.0,0.0,0.0,21437.58901207025,0.0,0.0,0.0,0.0,35666.3461396958,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,21437.58901207025,0.0,0.0,0.0,0.0,35666.3461396958,0.0
21,15671.117075674414,0.0,0.0,2823.6246983197143,0.0,2823.6246983197143,18613.964313750534,0.0,0.0,0.0,5955.024488756262,29711.32165093954,5955.024488756278
22,0.0,0.0,0.0,0.0,0.0,0.0,18613.964313750534,0.0,0.0,0.0,0.0,29711.32165093954,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,18613.964313750534,0.0,0.0,0.0,0.0,29711.32165093954,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,18613.964313750534,0.0,0.0,0.0,0.0,29711.32165093954,0.0
25,15671.117075674414,0.0,0.0,2823.6246983197143,0.0,2823.6246983197143,15790.339615430832,0.0,0.0,0.0,5955.024488756279,23756.29716218326,5955.024488756278
26,0.0,0.0,0.0,0.0,0.0,0.0,15790.339615430832,0.0,0.0,0.0,0.0,23756.29716218326,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,15790.339615430832,0.0,0.0,0.0,0.0,23756.29716218326,0.0
28,15671.117075674414,0.0,0.0,2823.6246983197143,0.0,2823.6246983197143,12966.714917111118,0.0,0.0,0.0,5955.024488756278,17801.27267342698,5955.024488756278
29,0.0,0.0,0.0,0.0,0.0,0.0,12966.714917111118,0.0,0.0,0.0,0.0,17801.27267342698,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,12966.714917111118,0.0,0.0,0.0,0.0,17801.27267342698,0.0
31,15671.117075674414,0.0,0.0,2823.6246983197143,0.0,2823.6246983197143,10143.090218791403,0.0,0.0,0.0,5955.024488756278,11846.248184670705,5955.024488756278
32,5836.6200318581505,0.0,0.0,1051.6432489834506,0.0,1051.6432489834506,9091.446969807952,2217.9156121060973,0.0,0.0,0.0,11846.248184670705,2217.9156121060973
33,15671.117075674414,25132.3960687113,2823.6246983197148,2823.6246983197148,0.0,0.0,9091.446969807952,139525.4482675509,0.0,0.0,11846.248184670705,0.0,151371.6964522216
34,15671.117075674414,51810.02519990604,5820.856331209444,2823.6246983197143,2997.2316328897286,0.0,12088.67860269768,308546.523280959,0.0,0.0,0.0,0.0,308546.523280959
35,15671.117075674414,64222.43251835851,7215.390293437579,2823.6246983197143,4391.765595117864,0.0,16480.444197815545,415351.0890320602,0.0,33675.20477185777,0.0,33675.20477185777,381675.8842602024
36,15671.117075674414,64222.43251835851,7215.390293437579,2823.6246983197143,53099.769735529444,48708.00414041158,20872.209792933412,475667.7901007303,0.0,48206.381948541035,0.0,81881.5867203988,427461.4081521893
37,15671.117075674414,64222.43251835851,7215.390293437579,2823.6246983197143,105388.9908916673,100997.22529654944,25263.975388051273,476613.27603895887,0.0,0.0,0.0,81881.5867203988,476613.27603895887
38,15671.117075674414,64222.43251835851,7215.390293437579,2823.6246983197143,48338.343058015096,43946.57746289893,29655.740983167438,422985.6670753258,0.0,0.0,0.0,81881.5867203988,422985.6670753258
39,15671.117075674414,51520.56234194794,5788.335179117851,2823.6246983197143,2964.7104807981354,0.0,32620.45146396557,306841.1140652758,0.0,0.0,0.0,81881.5867203988,306841.1140652758
40,13502.460980938287,21654.43571358534,2432.875852421313,2432.875852421313,0.0,0.0,32620.45146396557,130424.04157245418,0.0,0.0,0.0,81881.5867203988,130424.04157245418
41,6010.954553299334,9640.007783429894,1083.0548744683485,1083.0548744683485,0.0,0.0,32620.45146396557,0.0,0.0,0.0,58061.488765373695,23820.097955025107,58061.488765373695
42,0.0,0.0,0.0,0.0,0.0,0.0,32620.45146396557,0.0,0.0,0.0,0.0,23820.097955025107,0.0
43,15671.117075674414,0.0,0.0,2823.6246983197143,0.0,2823.6246983197143,29796.826765645856,0.0,0.0,0.0,5955.024488756276,17865.073466268834,5955.024488756278
44,0.0,0.0,0.0,0.0,0.0,0.0,29796.826765645856,0.0,0.0,0.0,0.0,17865.073466268834,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,29796.826765645856,0.0,0.0,0.0,0.0,17865.073466268834,0.0
46,15671.117075674414,0.0,0.0,2823.6246983197143,0.0,2823.6246983197143,26973.20206732614,0.0,0.0,0.0,5955.024488756278,11910.048977512555,5955.024488756278
47,0.0,0.0,0.0,0.0,0.0,0.0,26973.20206732614,0.0,0.0,0.0,0.0,11910.048977512555,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,26973.20206732614,0.0,0.0,0.0,0.0,11910.048977512555,0.0
49,15671.117075674414,0.0,0.0,2823.6246983197143,0.0,2823.6246983197143,24149.577369006423,0.0,0.0,0.0,5955.024488756278,5955.024488756278,5955.024488756278
50,0.0,0.0,0.0,0.0,0.0,0.0,24149.577369006423,0.0,0.0,0.0,0.0,5955.024488756278,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,24149.577369006423,0.0,0.0,0.0,0.0,5955.024488756278,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,24149.577369006423,0.0,0.0,0.0,0.0,5955.024488756278,0.0
53,15671.117075674414,0.0,0.0,2823.6246983197143,0.0,2823.6246983197143,21325.952670686707,0.0,0.0,0.0,5955.024488756278,0.0,5955.024488756278
54,0.0,0.0,0.0,0.0,0.0,0.0,21325.952670686707,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,21325.952670686707,0.0,0.0,0.0,0.0,0.0,0.0
56,14138.107487528907,0.0,0.0,2547.406754509713,0.0,2547.406754509713,18778.545916176994,5372.480845260985,0.0,0.0,0.0,0.0,5372.480845260985
57,15671.117075674414,12758.19703676109,1433.3834370801085,2823.6246983197143,0.0,1390.2412612396058,17388.304654937387,79774.27149838186,0.0,0.0,0.0,0.0,79774.27149838186
58,11819.227362718335,18954.966762840282,2129.590515805106,2129.5905158051055,0.0,0.0,17388.304654937387,114165.21796179593,0.0,0.0,0.0,0.0,114165.21796179593
59,15671.117075674414,36567.48102670253,4108.356493350029,2823.6246983197143,1284.7317950303145,0.0,18673.0364499677,218743.0317836113,0.0,0.0,0.0,0.0,218743.03178361128
60,15671.117075674414,41510.846725303214,4663.743629587816,2823.6246983197143,1840.118931268102,0.0,20513.155381235803,247867.53320792085,0.0,0.0,0.0,0.0,247867.53320792082
61,15671.117075674414,49672.62654937668,5580.71959282247,2823.6246983197143,2757.094894502755,0.0,23270.25027573856,306346.2803032123,0.0,10392.527583266288,0.0,10392.527583266288,295953.7527199461
62,15671.117075674414,25132.396068711296,2823.6246983197143,2823.6246983197143,0.0,0.0,23270.25027573856,222860.75558935408,0.0,71489.05913713251,0.0,81881.5867203988,151371.69645222157
63,15440.924044529631,24763.226315014024,2782.148476491826,2782.148476491826,0.0,0.0,23270.25027573856,149148.19767625027,0.0,0.0,0.0,81881.5867203988,149148.19767625027
64,3348.1712188505508,5369.595847677665,603.2740934865857,603.2740934865857,0.0,0.0,23270.25027573856,32340.920877722376,0.0,0.0,0.0,81881.5867203988,32340.920877722372
65,5394.446393986581,8651.289036411441,971.9723232408254,971.9723232408254,0.0,0.0,23270.25027573856,0.0,0.0,0.0,52106.464276617415,29775.122443781387,52106.464276617415
66,15671.117075674414,0.0,0.0,2823.6246983197143,0.0,2823.6246983197143,20446.625577418843,0.0,0.0,0.0,5955.024488756278,23820.09795502511,5955.024488756278
67,0.0,0.0,0.0,0.0,0.0,0.0,20446.625577418843,0.0,0.0,0.0,0.0,23820.09795502511,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,20446.625577418843,0.0,0.0,0.0,0.0,23820.09795502511,0.0
69,15671.117075674414,0.0,0.0,2823.6246983197143,0.0,2823.6246983197143,17623.000879099127,0.0,0.0,0.0,5955.024488756278,17865.073466268834,5955.024488756278
70,0.0,0.0,0.0,0.0,0.0,0.0,17623.000879099127,0.0,0.0,0.0,0.0,17865.073466268834,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,17623.000879099127,0.0,0.0,0.0,0.0,17865.073466268834,0.0
72,15671.117075674414,0.0,0.0,2823.6246983197143,0.0,2823.6246983197143,14799.376180779413,0.0,0.0,0.0,5955.024488756278,11910.048977512555,5955.024488756278
73,0.0,0.0,0.0,0.0,0.0,0.0,14799.376180779413,0.0,0.0,0.0,0.0,11910.048977512555,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,14799.376180779413,0.0,0.0,0.0,0.0,11910.048977512555,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,14799.376180779413,0.0,0.0,0.0,0.0,11910.048977512555,0.0
76,15671.117075674414,0.0,0.0,2823.6246983197143,0.0,2823.6246983197143,11975.751482459698,0.0,0.0,0.0,5955.024488756278,5955.024488756278,5955.024488756278
