Time,Ammonia produced (H2 end-user) (kg/h),Water supply (kg/h),H2_from_AEC (kg/h),H2_pipeline_to_demand (kg/h),H2_to_storage (kg/h),H2_from_storage (kg/h),H2_storage_undergroundpipes (kg),PV fixed support (kWh),Power_to_the_grid (kWh),Electricity_to_batteries (kWh),Electricity_from_batteries (kWh),Electricity_stored (kWh),Electricity consumption
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,382.0154707258163,612.6534610324339,68.83161634699395,68.83161634699393,0.0,0.0,0.0,3689.9941207459983,0.0,0.0,0.0,0.0,3689.9941207459988
9,15629.301756139535,26742.083532497607,3004.4730848761064,2816.0904065116283,188.3826783644778,0.0,188.3826783644778,160846.5782561151,0.0,0.0,0.0,0.0,160846.5782561151
10,15629.301756139535,51618.7888299427,5799.3709250440625,2816.0904065116283,2983.280518532433,0.0,3171.6631968969104,307411.0209945227,0.0,0.0,0.0,0.0,307411.0209945227
11,15629.301756139535,63993.3088411514,7189.648248303361,2816.0904065116283,4373.557841791732,0.0,7545.221038688643,412774.9538379822,0.0,32457.79001174186,0.0,32457.79001174186,380317.16382624034
12,15629.301756139535,63993.3088411514,7189.648248303361,2816.0904065116283,91497.63454852231,87124.07670673059,11918.778880480375,462213.7959305671,0.0,0.0,0.0,32457.79001174186,462213.7959305671
13,15629.301756139535,63993.3088411514,7189.648248303361,2816.0904065116283,56322.20292526683,51948.645083475094,16292.336722272106,478354.2018687941,0.0,49205.3116640872,0.0,81663.10167582906,429148.8902047069
14,15629.301756139535,63993.3088411514,7189.648248303361,2816.0904065116283,50020.73752314634,45647.1796813546,20665.89456406384,423225.51272671367,0.0,0.0,0.0,81663.10167582906,423225.51272671367
15,15629.301756139535,51139.668562486004,5745.541762995303,2816.0904065116283,2929.4513564836766,0.0,23595.345920547516,304588.21973668586,0.0,0.0,0.0,81663.10167582906,304588.2197366858
16,12834.620491291813,20583.393259147237,2312.5442326651923,2312.5442326651914,0.0,0.0,23595.345920547516,123973.18376894828,0.0,0.0,0.0,81663.10167582906,123973.18376894829
17,4765.189238349187,7642.124215028145,858.5926555584122,858.592655558412,0.0,0.0,23595.345920547516,0.0,0.0,0.0,46028.29367183092,35634.80800399814,46028.29367183092
18,15629.301756139535,0.0,0.0,2816.0904065116283,0.0,2816.0904065116283,20779.25551403589,0.0,0.0,0.0,5939.134667333024,29695.673336665117,5939.134667333024
19,0.0,0.0,0.0,0.0,0.0,0.0,20779.25551403589,0.0,0.0,0.0,0.0,29695.673336665117,0.0
20,15629.301756139535,0.0,0.0,2816.0904065116283,0.0,2816.0904065116283,17963.165107524263,0.0,0.0,0.0,5939.134667333024,23756.538669332094,5939.134667333024
21,0.0,0.0,0.0,0.0,0.0,0.0,17963.165107524263,0.0,0.0,0.0,0.0,23756.538669332094,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,17963.165107524263,0.0,0.0,0.0,0.0,23756.538669332094,0.0
23,15629.301756139535,0.0,0.0,2816.0904065116283,0.0,2816.0904065116283,15147.074701012634,0.0,0.0,0.0,5939.134667333024,17817.40400199907,5939.134667333024
24,0.0,0.0,0.0,0.0,0.0,0.0,15147.074701012634,0.0,0.0,0.0,0.0,17817.40400199907,0.0
25,15629.301756139535,0.0,0.0,2816.0904065116283,0.0,2816.0904065116283,12330.984294501006,0.0,0.0,0.0,5939.134667333024,11878.269334666047,5939.134667333024
26,0.0,0.0,0.0,0.0,0.0,0.0,12330.984294501006,0.0,0.0,0.0,0.0,11878.269334666047,0.0
27,15629.301756139535,0.0,0.0,2816.0904065116283,0.0,2816.0904065116283,9514.893887989378,0.0,0.0,0.0,5939.134667333024,5939.134667333024,5939.134667333024
28,0.0,0.0,0.0,0.0,0.0,0.0,9514.893887989378,0.0,0.0,0.0,0.0,5939.134667333024,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,9514.893887989378,0.0,0.0,0.0,0.0,5939.134667333024,0.0
30,15629.301756139535,0.0,0.0,2816.0904065116283,0.0,2816.0904065116283,6698.803481477749,0.0,0.0,0.0,5939.134667333024,0.0,5939.134667333024
31,0.0,0.0,0.0,0.0,0.0,0.0,6698.803481477749,0.0,0.0,0.0,0.0,0.0,0.0
32,283.9923163669138,455.44981515600597,51.169786732777276,51.16978673277727,0.0,0.0,6698.803481477749,2743.1610969574567,0.0,0.0,0.0,0.0,2743.1610969574567
33,12532.306089998001,20098.559584948907,2258.07316936901,2258.073169369009,0.0,0.0,6698.803481477749,121053.04453670325,0.0,0.0,0.0,0.0,121053.04453670327
34,15629.301756139535,45436.78562978064,5104.822865505856,2816.0904065116283,2288.7324589942277,0.0,8987.535940471977,270988.9207523392,0.0,0.0,0.0,0.0,270988.9207523391
35,15629.301756139535,63604.30523842013,7145.943693536502,2816.0904065116283,4329.853287024873,0.0,13317.38922749685,378025.2969742663,0.0,0.0,0.0,0.0,378025.29697426624
36,15629.301756139535,63993.3088411514,7189.648248303361,2816.0904065116283,62493.93056868044,58120.3727268887,17690.94706928861,434950.3141895157,0.0,0.0,0.0,0.0,434950.3141895157
37,15629.301756139535,63993.3088411514,7189.648248303361,2816.0904065116283,8170.97090420504,3797.4130624133077,22064.50491108034,465549.8337807379,0.0,81663.10167582906,0.0,81663.10167582906,383886.73210490885
38,15629.301756139535,63993.3088411514,7189.648248303361,2816.0904065116283,35796.59058593729,31423.032744145556,26438.062752872072,409854.81460573716,0.0,0.0,0.0,81663.10167582906,409854.81460573716
39,15629.301756139535,50405.21774497406,5663.026213647836,2816.0904065116283,2846.935807136206,0.0,29284.99856000828,300261.1043289046,0.0,0.0,0.0,81663.10167582906,300261.1043289046
40,12538.718819722417,20108.843935613717,2259.2286161662014,2259.2286161662014,0.0,0.0,29284.99856000828,121114.98688405388,0.0,0.0,0.0,81663.10167582906,121114.9868840539
41,15629.301756139535,4186.062872258269,470.30416369821654,2816.0904065116283,0.0,2345.7862428135522,26939.212317194728,0.0,0.0,0.0,30159.799097791176,51503.30257803789,30159.799097791176
42,15629.301756139535,0.0,0.0,2816.0904065116283,0.0,2816.0904065116283,24123.121910683098,0.0,0.0,0.0,5939.134667333024,45564.16791070487,5939.134667333024
43,0.0,0.0,0.0,0.0,0.0,0.0,24123.121910683098,0.0,0.0,0.0,0.0,45564.16791070487,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,24123.121910683098,0.0,0.0,0.0,0.0,45564.16791070487,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,24123.121910683098,0.0,0.0,0.0,0.0,45564.16791070487,0.0
46,15629.301756139535,0.0,0.0,2816.0904065116283,0.0,2816.0904065116283,21307.03150417147,0.0,0.0,0.0,5939.134667333024,39625.03324337184,5939.134667333024
47,0.0,0.0,0.0,0.0,0.0,0.0,21307.03150417147,0.0,0.0,0.0,0.0,39625.03324337184,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,21307.03150417147,0.0,0.0,0.0,0.0,39625.03324337184,0.0
49,15629.301756139535,0.0,0.0,2816.0904065116283,0.0,2816.0904065116283,18490.941097659845,0.0,0.0,0.0,5939.134667333024,33685.89857603882,5939.134667333024
50,0.0,0.0,0.0,0.0,0.0,0.0,18490.941097659845,0.0,0.0,0.0,0.0,33685.89857603882,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,18490.941097659845,0.0,0.0,0.0,0.0,33685.89857603882,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,18490.941097659845,0.0,0.0,0.0,0.0,33685.89857603882,0.0
53,15629.301756139535,0.0,0.0,2816.0904065116283,0.0,2816.0904065116283,15674.850691148215,0.0,0.0,0.0,5939.134667333024,27746.763908705794,5939.134667333024
54,0.0,0.0,0.0,0.0,0.0,0.0,15674.850691148215,0.0,0.0,0.0,0.0,27746.763908705794,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,15674.850691148215,0.0,0.0,0.0,0.0,27746.763908705794,0.0
56,15629.301756139535,8.913755497338169,1.0014604301259433,2816.0904065116283,0.0,2815.0889460815033,12859.761745066711,5990.70987948451,0.0,0.0,0.0,27746.763908705794,5990.70987948451
57,8228.44834066974,13196.291095907243,1482.603304625179,1482.6033046251785,0.0,0.0,12859.761745066711,79480.88055765121,0.0,0.0,0.0,27746.763908705794,79480.88055765121
58,15629.301756139535,25065.335171443065,2816.0904065116283,2816.0904065116283,0.0,0.0,12859.761745066711,123221.02669397609,0.0,0.0,27746.763908705794,0.0,150967.79060268187
59,15629.301756139535,34105.78051638959,3831.7844410163707,2816.0904065116283,1015.6940345047421,0.0,13875.455779571454,228717.6931389012,0.0,24486.90736679056,0.0,24486.90736679056,204230.78577211057
60,15629.301756139535,38996.44799073914,4381.250931759543,2816.0904065116283,1565.1605252479142,0.0,15440.616304819368,233044.8085466825,0.0,0.0,0.0,24486.90736679056,233044.80854668253
61,15629.301756139535,48161.312793311736,5410.923492328574,2816.0904065116283,2594.8330858169443,0.0,18035.449390636313,287040.8376229225,0.0,0.0,0.0,24486.90736679056,287040.8376229225
62,15629.301756139535,25065.33517144305,2816.090406511627,2816.0904065116283,0.0,0.0,18035.449390636313,208143.98491172033,0.0,57176.1943090385,0.0,81663.10167582906,150967.7906026818
63,14560.560891405574,23351.352780934056,2623.5244849379415,2623.5244849379415,0.0,0.0,18035.449390636313,140644.52411303812,0.0,0.0,0.0,81663.10167582906,140644.52411303812
64,2319.575951745244,3719.9965547580873,417.9416129270711,417.941612927071,0.0,0.0,18035.449390636313,22405.431927407353,0.0,0.0,0.0,81663.10167582906,22405.431927407353
65,15629.301756139535,7983.460134792182,896.9417461439017,2816.0904065116283,0.0,1919.148660367715,16116.300730268598,0.0,0.0,0.0,52131.63459374396,29531.467082085102,52131.63459374396
66,0.0,0.0,0.0,0.0,0.0,0.0,16116.300730268598,0.0,0.0,0.0,0.0,29531.467082085102,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,16116.300730268598,0.0,0.0,0.0,0.0,29531.467082085102,0.0
68,15629.301756139535,0.0,0.0,2816.0904065116283,0.0,2816.0904065116283,13300.21032375697,0.0,0.0,0.0,5939.134667333024,23592.33241475208,5939.134667333024
69,0.0,0.0,0.0,0.0,0.0,0.0,13300.21032375697,0.0,0.0,0.0,0.0,23592.33241475208,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,13300.21032375697,0.0,0.0,0.0,0.0,23592.33241475208,0.0
71,15629.301756139535,0.0,0.0,2816.0904065116283,0.0,2816.0904065116283,10484.119917245342,0.0,0.0,0.0,5939.134667333024,17653.197747419057,5939.134667333024
72,0.0,0.0,0.0,0.0,0.0,0.0,10484.119917245342,0.0,0.0,0.0,0.0,17653.197747419057,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,10484.119917245342,0.0,0.0,0.0,0.0,17653.197747419057,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,10484.119917245342,0.0,0.0,0.0,0.0,17653.197747419057,0.0
75,15629.301756139535,0.0,0.0,2816.0904065116283,0.0,2816.0904065116283,7668.029510733713,0.0,0.0,0.0,5939.134667333024,11714.063080086034,5939.134667333024
76,0.0,0.0,0.0,0.0,0.0,0.0,7668.029510733713,0.0,0.0,0.0,0.0,11714.063080086034,0.0
