Time,Ammonia produced (H2 end-user) (kg/h),Water supply (kg/h),H2_from_AEC (kg/h),H2_pipeline_to_demand (kg/h),H2_to_storage (kg/h),H2_from_storage (kg/h),H2_storage_undergroundpipes (kg),PV fixed support (kWh),Power_to_the_grid (kWh),Electricity_to_batteries (kWh),Electricity_from_batteries (kWh),Electricity_stored (kWh),Electricity consumption
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2320.81319417564,3721.980769836283,418.1645394911064,418.1645394911063,0.0,0.0,0.0,22417.38279757872,0.0,0.0,0.0,0.0,22417.38279757872
9,14173.537721572657,22730.66827292872,2553.790580463542,2553.790580463542,0.0,0.0,0.0,136906.15922807003,0.0,0.0,0.0,0.0,136906.15922807003
10,16074.057478023255,43046.3929861507,4836.262251994031,2896.2265726168025,1940.0356793772276,0.0,1940.0356793772276,256999.28135795603,0.0,0.0,0.0,0.0,256999.28135795603
11,16074.057478023255,62071.15148063518,6973.693868849363,2896.2265726168025,4077.46729623256,0.0,6017.502975609787,373089.29941684584,0.0,4003.104070996167,0.0,4003.104070996167,369086.1953458497
12,16074.057478023255,62071.15148063518,6973.693868849363,2896.2265726168025,4077.46729623256,0.0,10094.970271842347,417123.444197804,0.0,48037.248851954355,0.0,52040.35292295052,369086.1953458497
13,16074.057478023255,62071.15148063518,6973.693868849363,2896.2265726168025,31039.989819987248,26962.522523754684,14172.437568074909,412319.7193126086,0.0,17888.75279442953,0.0,69929.10571738005,394430.96651817905
14,16074.057478023255,62071.15148063518,6973.693868849363,2896.2265726168025,7484.364377931405,3406.8970816988453,18249.90486430747,372288.67860264657,0.0,0.0,0.0,69929.10571738005,372288.67860264657
15,16074.057478023255,42231.04619352993,4744.658039843088,2896.2265726168025,1848.431467226286,0.0,20098.33633153381,252195.5564727606,0.0,0.0,0.0,69929.10571738005,252195.55647276057
16,8454.39092163983,13558.644232975026,1523.3136795747444,1523.3136795747441,0.0,0.0,20098.33633153381,81663.32304832248,0.0,0.0,0.0,69929.10571738005,81663.32304832248
17,4710.1379963598465,7553.836340521853,848.6735128576303,848.67351285763,0.0,0.0,20098.33633153381,0.0,0.0,0.0,45496.5383507847,24432.567366595347,45496.5383507847
18,0.0,0.0,0.0,0.0,0.0,0.0,20098.33633153381,0.0,0.0,0.0,0.0,24432.567366595347,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,20098.33633153381,0.0,0.0,0.0,0.0,24432.567366595347,0.0
20,16074.057478023255,0.0,0.0,2896.2265726168025,0.0,2896.2265726168025,17202.109758917006,0.0,0.0,0.0,6108.141841648837,18324.42552494651,6108.141841648837
21,0.0,0.0,0.0,0.0,0.0,0.0,17202.109758917006,0.0,0.0,0.0,0.0,18324.42552494651,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,17202.109758917006,0.0,0.0,0.0,0.0,18324.42552494651,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,17202.109758917006,0.0,0.0,0.0,0.0,18324.42552494651,0.0
24,16074.057478023255,0.0,0.0,2896.2265726168025,0.0,2896.2265726168025,14305.883186300201,0.0,0.0,0.0,6108.141841648837,12216.283683297674,6108.141841648837
25,0.0,0.0,0.0,0.0,0.0,0.0,14305.883186300201,0.0,0.0,0.0,0.0,12216.283683297674,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,14305.883186300201,0.0,0.0,0.0,0.0,12216.283683297674,0.0
27,16074.057478023255,0.0,0.0,2896.2265726168025,0.0,2896.2265726168025,11409.656613683399,0.0,0.0,0.0,6108.141841648837,6108.141841648837,6108.141841648837
28,0.0,0.0,0.0,0.0,0.0,0.0,11409.656613683399,0.0,0.0,0.0,0.0,6108.141841648837,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,11409.656613683399,0.0,0.0,0.0,0.0,6108.141841648837,0.0
30,16074.057478023255,0.0,0.0,2896.2265726168025,0.0,2896.2265726168025,8513.430041066596,0.0,0.0,0.0,6108.141841648837,0.0,6108.141841648837
31,0.0,0.0,0.0,0.0,0.0,0.0,8513.430041066596,0.0,0.0,0.0,0.0,0.0,0.0
32,16074.057478023255,5724.5307536890905,643.1510301769694,2896.2265726168025,0.0,2253.075542439834,6260.3544986267625,39230.41989576276,0.0,0.0,0.0,0.0,39230.41989576276
33,16074.057478023255,33262.23147470153,3737.0117061827173,2896.2265726168025,840.7851335659141,0.0,7101.139632192677,199354.58273561075,0.0,0.0,0.0,0.0,199354.58273561075
34,16074.057478023255,56227.83280018636,6317.197015100938,2896.2265726168025,3420.970442484136,0.0,10522.110074676813,334659.5003352823,0.0,0.0,0.0,0.0,334659.50033528224
35,16074.057478023255,62071.15148063518,6973.693868849363,2896.2265726168025,4077.46729623256,0.0,14599.577370909374,423528.41071139794,0.0,54442.21536554827,0.0,54442.21536554827,369086.1953458497
36,16074.057478023255,62071.15148063518,6973.693868849363,2896.2265726168025,92364.13729056732,88286.66999433476,18677.044667141934,467562.5554923561,0.0,15486.890351831782,0.0,69929.10571738005,452075.66514052433
37,16074.057478023255,62071.15148063518,6973.693868849363,2896.2265726168025,106284.37974719929,102206.91245096673,22754.511963374494,465160.6930497584,0.0,0.0,0.0,69929.10571738005,465160.6930497584
38,16074.057478023255,62071.15148063518,6973.693868849363,2896.2265726168025,51774.02644001704,47696.559143784485,26831.979259607055,413920.96094100707,0.0,0.0,0.0,69929.10571738005,413920.96094100707
39,16074.057478023255,50520.40525184103,5675.9675300443405,2896.2265726168025,2779.740957427537,0.0,29611.720217034595,301033.42613891425,0.0,0.0,0.0,69929.10571738005,301033.42613891425
40,11189.635043346834,17945.264425996364,2016.1504582606915,2016.1504582606908,0.0,0.0,29611.720217034595,108083.8099168974,0.0,0.0,0.0,69929.10571738005,108083.8099168974
41,3445.417997063049,5525.554388134007,620.7960355068558,620.7960355068557,0.0,0.0,29611.720217034595,0.0,0.0,0.0,33280.25466748703,36648.85104989302,33280.25466748703
42,16074.057478023255,0.0,0.0,2896.2265726168025,0.0,2896.2265726168025,26715.49364441779,0.0,0.0,0.0,6108.141841648837,30540.709208244185,6108.141841648837
43,0.0,0.0,0.0,0.0,0.0,0.0,26715.49364441779,0.0,0.0,0.0,0.0,30540.709208244185,0.0
44,16074.057478023255,0.0,0.0,2896.2265726168025,0.0,2896.2265726168025,23819.267071800987,0.0,0.0,0.0,6108.141841648837,24432.567366595347,6108.141841648837
45,0.0,0.0,0.0,0.0,0.0,0.0,23819.267071800987,0.0,0.0,0.0,0.0,24432.567366595347,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,23819.267071800987,0.0,0.0,0.0,0.0,24432.567366595347,0.0
47,16074.057478023255,0.0,0.0,2896.2265726168025,0.0,2896.2265726168025,20923.040499184182,0.0,0.0,0.0,6108.141841648837,18324.42552494651,6108.141841648837
48,0.0,0.0,0.0,0.0,0.0,0.0,20923.040499184182,0.0,0.0,0.0,0.0,18324.42552494651,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,20923.040499184182,0.0,0.0,0.0,0.0,18324.42552494651,0.0
50,16074.057478023255,0.0,0.0,2896.2265726168025,0.0,2896.2265726168025,18026.813926567378,0.0,0.0,0.0,6108.141841648837,12216.283683297674,6108.141841648837
51,0.0,0.0,0.0,0.0,0.0,0.0,18026.813926567378,0.0,0.0,0.0,0.0,12216.283683297674,0.0
52,16074.057478023255,0.0,0.0,2896.2265726168025,0.0,2896.2265726168025,15130.587353950576,0.0,0.0,0.0,6108.141841648837,6108.141841648837,6108.141841648837
53,0.0,0.0,0.0,0.0,0.0,0.0,15130.587353950576,0.0,0.0,0.0,0.0,6108.141841648837,0.0
54,16074.057478023255,0.0,0.0,2896.2265726168025,0.0,2896.2265726168025,12234.360781333773,0.0,0.0,0.0,6108.141841648837,0.0,6108.141841648837
55,0.0,0.0,0.0,0.0,0.0,0.0,12234.360781333773,0.0,0.0,0.0,0.0,0.0,0.0
56,16074.057478023255,5309.416328397509,596.5129244954601,2896.2265726168025,0.0,2299.713648121342,9934.647133212431,36828.557453165035,0.0,0.0,0.0,0.0,36828.55745316503
57,16074.057478023255,32310.99354997731,3630.140125339951,2896.2265726168025,733.9135527231479,0.0,10668.56068593558,193750.23703621607,0.0,0.0,0.0,0.0,193750.23703621607
58,16074.057478023255,55004.81261125522,6179.790696874525,2896.2265726168025,3283.564124257722,0.0,13952.124810193302,327453.9130074891,0.0,0.0,0.0,0.0,327453.9130074891
59,16074.057478023255,62071.15148063518,6973.693868849363,2896.2265726168025,4077.46729623256,0.0,18029.592106425862,417123.444197804,0.0,48037.24885195434,0.0,48037.24885195434,369086.1953458497
60,16074.057478023255,62071.15148063518,6973.693868849363,2896.2265726168025,78736.5489637717,74659.08166753914,22107.05940265842,461157.58897876216,0.0,21891.85686542571,0.0,69929.10571738005,439265.73211333645
61,16074.057478023255,62071.15148063518,6973.693868849363,2896.2265726168025,95211.96423167786,91134.4969354453,26184.52669889098,454752.62246516824,0.0,0.0,0.0,69929.10571738005,454752.62246516824
62,16074.057478023255,62071.15148063518,6973.693868849363,2896.2265726168025,21111.952704726966,17034.485408494405,30261.99399512354,385098.6116298344,0.0,0.0,0.0,69929.10571738005,385098.6116298344
63,16074.057478023255,48617.92940239258,5462.224368358807,2896.2265726168025,2565.9977957420033,0.0,32827.99179086554,289824.73474012484,0.0,0.0,0.0,69929.10571738005,289824.73474012484
64,10360.773188284105,16615.98557962626,1866.8059798710103,1866.80597987101,0.0,0.0,32827.99179086554,100077.601774905,0.0,0.0,0.0,69929.10571738005,100077.601774905
65,16074.057478023255,5751.833887251961,646.2185372327579,2896.2265726168025,0.0,2250.008035384046,30577.983755481495,0.0,0.0,0.0,39388.39650913587,30540.709208244185,39388.39650913587
66,0.0,0.0,0.0,0.0,0.0,0.0,30577.983755481495,0.0,0.0,0.0,0.0,30540.709208244185,0.0
67,16074.057478023255,0.0,0.0,2896.2265726168025,0.0,2896.2265726168025,27681.757182864694,0.0,0.0,0.0,6108.141841648837,24432.567366595347,6108.141841648837
68,0.0,0.0,0.0,0.0,0.0,0.0,27681.757182864694,0.0,0.0,0.0,0.0,24432.567366595347,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,27681.757182864694,0.0,0.0,0.0,0.0,24432.567366595347,0.0
70,16074.057478023255,0.0,0.0,2896.2265726168025,0.0,2896.2265726168025,24785.53061024789,0.0,0.0,0.0,6108.141841648837,18324.42552494651,6108.141841648837
71,0.0,0.0,0.0,0.0,0.0,0.0,24785.53061024789,0.0,0.0,0.0,0.0,18324.42552494651,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,24785.53061024789,0.0,0.0,0.0,0.0,18324.42552494651,0.0
73,16074.057478023255,0.0,0.0,2896.2265726168025,0.0,2896.2265726168025,21889.304037631086,0.0,0.0,0.0,6108.141841648837,12216.283683297674,6108.141841648837
74,0.0,0.0,0.0,0.0,0.0,0.0,21889.304037631086,0.0,0.0,0.0,0.0,12216.283683297674,0.0
75,16074.057478023255,0.0,0.0,2896.2265726168025,0.0,2896.2265726168025,18993.077465014285,0.0,0.0,0.0,6108.141841648837,6108.141841648837,6108.141841648837
