time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20190101:0010,0.0,0.0,0.0,1.11,1.1,0.0,0.0
20190101:0110,0.0,0.0,0.0,0.31,1.24,0.0,0.0
20190101:0210,0.0,0.0,0.0,-0.34,1.45,0.0,0.0
20190101:0310,0.0,0.0,0.0,-0.7,1.52,0.0,0.0
20190101:0410,0.0,0.0,0.0,-0.73,1.45,0.0,0.0
20190101:0510,0.0,0.0,0.0,-0.36,1.24,0.0,0.0
20190101:0610,0.0,0.0,0.0,0.63,0.97,0.0,0.0
20190101:0710,0.0,0.0,0.0,0.76,1.03,0.0,0.0
20190101:0810,34.27,52.52,7.84,0.03,1.1,0.0,0.03427
20190101:0910,315.86,368.59,14.61,1.48,0.62,0.0,0.31586000000000003
20190101:1010,342.41,395.61,19.39,3.54,0.34,0.0,0.34241000000000005
20190101:1110,580.95,694.67,21.74,4.54,0.48,0.0,0.5809500000000001
20190101:1210,606.22,728.44,21.38,5.3,0.69,0.0,0.60622
20190101:1310,545.38,646.95,18.37,5.72,0.76,0.0,0.54538
20190101:1410,459.72,538.02,13.02,5.72,0.76,0.0,0.45972
20190101:1510,256.34,300.42,5.81,5.03,0.69,0.0,0.25633999999999996
20190101:1610,0.0,0.0,0.0,3.68,0.62,0.0,0.0
20190101:1710,0.0,0.0,0.0,3.24,0.69,0.0,0.0
20190101:1810,0.0,0.0,0.0,3.1,0.55,0.0,0.0
20190101:1910,0.0,0.0,0.0,3.06,0.48,0.0,0.0
20190101:2010,0.0,0.0,0.0,2.32,0.83,0.0,0.0
20190101:2110,0.0,0.0,0.0,0.56,1.1,0.0,0.0
20190101:2210,0.0,0.0,0.0,-0.05,1.1,0.0,0.0
20190101:2310,0.0,0.0,0.0,-0.5,1.1,0.0,0.0
20190102:0010,0.0,0.0,0.0,-0.84,1.17,0.0,0.0
20190102:0110,0.0,0.0,0.0,-1.07,1.17,0.0,0.0
20190102:0210,0.0,0.0,0.0,-0.88,1.17,0.0,0.0
20190102:0310,0.0,0.0,0.0,-0.78,1.1,0.0,0.0
20190102:0410,0.0,0.0,0.0,-0.95,1.17,0.0,0.0
20190102:0510,0.0,0.0,0.0,-1.76,1.38,0.0,0.0
20190102:0610,0.0,0.0,0.0,-2.25,1.38,0.0,0.0
20190102:0710,0.0,0.0,0.0,0.24,0.97,0.0,0.0
20190102:0810,85.29,116.1,7.85,0.02,1.03,0.0,0.08529
20190102:0910,252.31,295.67,14.64,2.47,0.62,0.0,0.25231
20190102:1010,474.17,563.22,19.45,5.03,0.07,0.0,0.47417000000000004
20190102:1110,576.51,702.12,21.82,7.15,0.28,0.0,0.57651
20190102:1210,601.89,731.63,21.48,8.12,0.9,0.0,0.60189
20190102:1310,569.26,681.89,18.48,8.17,1.31,0.0,0.56926
20190102:1410,482.91,570.46,13.14,7.65,1.1,0.0,0.48291
20190102:1510,292.29,344.05,5.94,6.18,0.55,0.0,0.29229
20190102:1610,0.0,0.0,0.0,4.94,0.55,0.0,0.0
20190102:1710,0.0,0.0,0.0,4.14,0.55,0.0,0.0
20190102:1810,0.0,0.0,0.0,3.68,0.62,0.0,0.0
20190102:1910,0.0,0.0,0.0,5.05,1.1,0.0,0.0
20190102:2010,0.0,0.0,0.0,3.97,1.17,0.0,0.0
20190102:2110,0.0,0.0,0.0,2.12,1.24,0.0,0.0
20190102:2210,0.0,0.0,0.0,0.86,1.38,0.0,0.0
20190102:2310,0.0,0.0,0.0,0.61,1.31,0.0,0.0
20190103:0010,0.0,0.0,0.0,0.83,1.1,0.0,0.0
20190103:0110,0.0,0.0,0.0,0.03,1.17,0.0,0.0
20190103:0210,0.0,0.0,0.0,-1.54,1.45,0.0,0.0
20190103:0310,0.0,0.0,0.0,-1.98,1.45,0.0,0.0
20190103:0410,0.0,0.0,0.0,-1.8,1.38,0.0,0.0
20190103:0510,0.0,0.0,0.0,-1.49,1.24,0.0,0.0
20190103:0610,0.0,0.0,0.0,-1.33,1.24,0.0,0.0
20190103:0710,0.0,0.0,0.0,-1.22,0.97,0.0,0.0
20190103:0810,145.66,195.16,7.87,-0.78,1.03,0.0,0.14565999999999998
20190103:0910,355.34,415.43,14.68,0.93,0.55,0.0,0.35534
20190103:1010,501.15,590.0,19.51,3.25,0.34,0.0,0.50115
20190103:1110,596.55,708.75,21.9,4.33,0.97,0.0,0.5965499999999999
20190103:1210,613.32,735.21,21.59,4.71,0.76,0.0,0.6133200000000001
20190103:1310,585.49,696.84,18.6,4.92,0.83,0.0,0.58549
20190103:1410,483.68,563.43,13.27,4.61,0.97,0.0,0.48368
20190103:1510,303.6,353.02,6.08,3.7,0.55,0.0,0.30360000000000004
20190103:1610,0.0,0.0,0.0,2.4,0.34,0.0,0.0
20190103:1710,0.0,0.0,0.0,1.36,0.69,0.0,0.0
20190103:1810,0.0,0.0,0.0,0.48,1.1,0.0,0.0
20190103:1910,0.0,0.0,0.0,3.3,0.76,0.0,0.0
20190103:2010,0.0,0.0,0.0,2.9,0.9,0.0,0.0
20190103:2110,0.0,0.0,0.0,2.24,1.17,0.0,0.0
20190103:2210,0.0,0.0,0.0,1.32,1.31,0.0,0.0
20190103:2310,0.0,0.0,0.0,1.57,1.1,0.0,0.0
20190104:0010,0.0,0.0,0.0,1.17,1.03,0.0,0.0
20190104:0110,0.0,0.0,0.0,-0.73,1.38,0.0,0.0
20190104:0210,0.0,0.0,0.0,-1.14,1.38,0.0,0.0
20190104:0310,0.0,0.0,0.0,-0.48,1.17,0.0,0.0
20190104:0410,0.0,0.0,0.0,0.11,0.9,0.0,0.0
20190104:0510,0.0,0.0,0.0,-0.07,0.69,0.0,0.0
20190104:0610,0.0,0.0,0.0,-0.25,0.69,0.0,0.0
20190104:0710,0.0,0.0,0.0,-1.77,0.97,0.0,0.0
20190104:0810,83.22,113.13,7.9,-1.12,0.83,0.0,0.08322
20190104:0910,193.06,225.73,14.73,-0.31,0.48,0.0,0.19306
20190104:1010,407.84,469.7,19.58,2.76,0.76,0.0,0.40784
20190104:1110,587.76,697.14,21.99,3.95,0.83,0.0,0.58776
20190104:1210,576.63,683.08,21.7,4.54,0.9,0.0,0.57663
20190104:1310,441.45,511.53,18.73,4.59,0.76,0.0,0.44145
20190104:1410,308.57,354.72,13.41,4.14,0.48,0.0,0.30857
20190104:1510,227.63,265.01,6.22,2.95,0.62,0.0,0.22763
