time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20200101:0030,0.0,0.0,0.0,1.46,0.69,0.0,0.0
20200101:0130,0.0,0.0,0.0,0.9,0.34,0.0,0.0
20200101:0230,0.0,0.0,0.0,0.66,0.34,0.0,0.0
20200101:0330,0.0,0.0,0.0,0.48,0.34,0.0,0.0
20200101:0430,0.0,0.0,0.0,0.31,0.41,0.0,0.0
20200101:0530,0.0,0.0,0.0,0.15,0.34,0.0,0.0
20200101:0630,0.0,0.0,0.0,-0.05,0.48,0.0,0.0
20200101:0730,4.17,13.35,2.38,-1.0,0.41,0.0,0.00417
20200101:0830,181.77,225.5,10.22,-0.61,0.48,0.0,0.18177000000000001
20200101:0930,347.4,401.76,16.4,1.54,0.41,0.0,0.3474
20200101:1030,466.47,549.67,20.44,5.11,0.28,0.0,0.46647000000000005
20200101:1130,522.34,627.03,21.92,7.62,0.41,0.0,0.52234
20200101:1230,540.58,653.29,20.69,8.96,0.62,0.0,0.5405800000000001
20200101:1330,478.28,572.63,16.87,9.6,0.62,0.0,0.47828
20200101:1430,344.21,406.15,10.87,9.4,0.69,0.0,0.34420999999999996
20200101:1530,140.1,174.97,3.16,8.16,1.03,0.0,0.1401
20200101:1630,0.0,0.0,0.0,5.56,1.24,0.0,0.0
20200101:1730,0.0,0.0,0.0,4.38,1.24,0.0,0.0
20200101:1830,0.0,0.0,0.0,3.66,1.24,0.0,0.0
20200101:1930,0.0,0.0,0.0,3.7,0.97,0.0,0.0
20200101:2030,0.0,0.0,0.0,2.06,1.17,0.0,0.0
20200101:2130,0.0,0.0,0.0,0.41,1.31,0.0,0.0
20200101:2230,0.0,0.0,0.0,-0.25,1.31,0.0,0.0
20200101:2330,0.0,0.0,0.0,-0.5,1.17,0.0,0.0
20200102:0030,0.0,0.0,0.0,-0.01,0.69,0.0,0.0
20200102:0130,0.0,0.0,0.0,-0.39,0.62,0.0,0.0
20200102:0230,0.0,0.0,0.0,-0.79,0.69,0.0,0.0
20200102:0330,0.0,0.0,0.0,-0.96,0.69,0.0,0.0
20200102:0430,0.0,0.0,0.0,-0.83,0.76,0.0,0.0
20200102:0530,0.0,0.0,0.0,-0.83,0.69,0.0,0.0
20200102:0630,0.0,0.0,0.0,-0.47,0.62,0.0,0.0
20200102:0730,3.1,11.64,2.38,0.01,0.34,0.0,0.0031
20200102:0830,136.8,173.29,10.24,0.03,0.55,0.0,0.1368
20200102:0930,306.24,353.34,16.44,1.44,0.41,0.0,0.30624
20200102:1030,427.2,497.73,20.5,4.32,0.28,0.0,0.42719999999999997
20200102:1130,491.53,581.84,22.01,5.98,0.28,0.0,0.49152999999999997
20200102:1230,526.11,629.91,20.79,7.07,0.34,0.0,0.52611
20200102:1330,463.17,550.1,16.99,7.71,0.28,0.0,0.46317
20200102:1430,339.32,398.69,10.99,7.68,0.21,0.0,0.33932
20200102:1530,136.87,170.93,3.29,7.0,0.07,0.0,0.13687
20200102:1630,0.0,0.0,0.0,6.16,0.28,0.0,0.0
20200102:1730,0.0,0.0,0.0,5.43,0.76,0.0,0.0
20200102:1830,0.0,0.0,0.0,4.75,0.97,0.0,0.0
20200102:1930,0.0,0.0,0.0,3.39,0.97,0.0,0.0
20200102:2030,0.0,0.0,0.0,2.89,0.97,0.0,0.0
20200102:2130,0.0,0.0,0.0,1.76,1.1,0.0,0.0
20200102:2230,0.0,0.0,0.0,0.88,1.17,0.0,0.0
20200102:2330,0.0,0.0,0.0,0.08,1.31,0.0,0.0
20200103:0030,0.0,0.0,0.0,-0.32,1.31,0.0,0.0
20200103:0130,0.0,0.0,0.0,-0.48,1.31,0.0,0.0
20200103:0230,0.0,0.0,0.0,-0.66,1.24,0.0,0.0
20200103:0330,0.0,0.0,0.0,-0.8,1.24,0.0,0.0
20200103:0430,0.0,0.0,0.0,-0.54,1.1,0.0,0.0
20200103:0530,0.0,0.0,0.0,-0.12,0.9,0.0,0.0
20200103:0630,0.0,0.0,0.0,0.48,0.69,0.0,0.0
20200103:0730,6.77,17.38,2.39,0.76,0.62,0.0,0.00677
20200103:0830,89.82,117.43,10.27,1.1,0.69,0.0,0.08982
20200103:0930,139.25,167.59,16.49,2.11,0.55,0.0,0.13925
20200103:1030,258.47,299.15,20.57,4.15,0.48,0.0,0.25847000000000003
20200103:1130,263.36,307.25,22.1,5.92,0.34,0.0,0.26336000000000004
20200103:1230,324.38,377.62,20.9,6.72,0.28,0.0,0.32438
20200103:1330,235.22,276.18,17.11,7.23,0.28,0.0,0.23522
20200103:1430,158.94,191.36,11.12,7.15,0.34,0.0,0.15894
20200103:1530,25.32,42.44,3.43,6.37,0.41,0.0,0.02532
20200103:1630,0.0,0.0,0.0,5.32,0.83,0.0,0.0
20200103:1730,0.0,0.0,0.0,4.36,1.1,0.0,0.0
20200103:1830,0.0,0.0,0.0,3.68,1.1,0.0,0.0
20200103:1930,0.0,0.0,0.0,3.08,1.1,0.0,0.0
20200103:2030,0.0,0.0,0.0,1.84,1.1,0.0,0.0
20200103:2130,0.0,0.0,0.0,2.26,0.76,0.0,0.0
20200103:2230,0.0,0.0,0.0,1.96,0.55,0.0,0.0
20200103:2330,0.0,0.0,0.0,2.08,0.62,0.0,0.0
20200104:0030,0.0,0.0,0.0,1.92,0.62,0.0,0.0
20200104:0130,0.0,0.0,0.0,1.7,0.69,0.0,0.0
20200104:0230,0.0,0.0,0.0,1.53,0.83,0.0,0.0
20200104:0330,0.0,0.0,0.0,0.89,0.97,0.0,0.0
20200104:0430,0.0,0.0,0.0,1.21,0.83,0.0,0.0
20200104:0530,0.0,0.0,0.0,1.02,0.9,0.0,0.0
20200104:0630,0.0,0.0,0.0,0.62,1.1,0.0,0.0
20200104:0730,3.65,12.56,2.41,0.47,0.83,0.0,0.00365
20200104:0830,164.08,205.4,10.3,0.48,0.9,0.0,0.16408
20200104:0930,329.66,380.25,16.54,1.97,0.83,0.0,0.32966
20200104:1030,448.17,525.37,20.65,5.63,0.62,0.0,0.44817
20200104:1130,530.97,637.85,22.2,7.96,0.55,0.0,0.53097
20200104:1230,528.18,641.71,21.02,9.68,0.34,0.0,0.52818
20200104:1330,478.99,578.75,17.24,10.57,0.34,0.0,0.47899
20200104:1430,346.65,413.02,11.26,10.6,0.28,0.0,0.34664999999999996
20200104:1530,145.38,182.85,3.57,10.48,0.34,0.0,0.14538
20200104:1630,0.0,0.0,0.0,9.72,0.76,0.0,0.0
20200104:1730,0.0,0.0,0.0,7.79,1.24,0.0,0.0
20200104:1830,0.0,0.0,0.0,5.0,1.66,0.0,0.0
20200104:1930,0.0,0.0,0.0,2.95,1.93,0.0,0.0
20200104:2030,0.0,0.0,0.0,5.94,1.03,0.0,0.0
20200104:2130,0.0,0.0,0.0,3.48,1.31,0.0,0.0
20200104:2230,0.0,0.0,0.0,2.79,1.45,0.0,0.0
20200104:2330,0.0,0.0,0.0,1.28,1.66,0.0,0.0
20200105:0030,0.0,0.0,0.0,0.32,1.79,0.0,0.0
20200105:0130,0.0,0.0,0.0,-0.79,1.86,0.0,0.0
20200105:0230,0.0,0.0,0.0,-1.15,1.59,0.0,0.0
20200105:0330,0.0,0.0,0.0,-0.3,1.17,0.0,0.0
20200105:0430,0.0,0.0,0.0,-0.92,1.31,0.0,0.0
20200105:0530,0.0,0.0,0.0,-1.07,1.31,0.0,0.0
20200105:0630,0.0,0.0,0.0,-0.83,1.24,0.0,0.0
20200105:0730,3.74,12.7,2.43,0.25,1.03,0.0,0.0037400000000000003
20200105:0830,185.59,230.06,10.34,-0.63,1.17,0.0,0.18559
20200105:0930,358.16,414.18,16.61,2.15,0.83,0.0,0.35816000000000003
20200105:1030,475.62,562.46,20.73,6.37,0.55,0.0,0.47562
