time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20200101:0030,0.0,0.0,0.0,1.46,0.69,0.0,0.0
20200101:0130,0.0,0.0,0.0,0.9,0.34,0.0,0.0
20200101:0230,0.0,0.0,0.0,0.66,0.34,0.0,0.0
20200101:0330,0.0,0.0,0.0,0.48,0.34,0.0,0.0
20200101:0430,0.0,0.0,0.0,0.31,0.41,0.0,0.0
20200101:0530,0.0,0.0,0.0,0.15,0.34,0.0,0.0
20200101:0630,0.0,0.0,0.0,-0.05,0.48,0.0,0.0
20200101:0730,3.68,12.56,2.38,-0.99,0.41,0.0,0.00368
20200101:0830,188.62,233.97,10.22,-0.61,0.48,0.0,0.18862
20200101:0930,368.8,427.33,16.4,1.54,0.41,0.0,0.3688
20200101:1030,486.52,575.4,20.44,5.11,0.28,0.0,0.48652
20200101:1130,544.67,657.2,21.92,7.62,0.41,0.0,0.54467
20200101:1230,546.43,661.33,20.69,8.96,0.62,0.0,0.54643
20200101:1330,485.78,582.53,16.87,9.6,0.62,0.0,0.48578
20200101:1430,353.77,417.77,10.87,9.4,0.69,0.0,0.35377
20200101:1530,150.97,187.27,3.16,8.16,1.03,0.0,0.15097
20200101:1630,0.0,0.0,0.0,5.56,1.24,0.0,0.0
20200101:1730,0.0,0.0,0.0,4.38,1.24,0.0,0.0
20200101:1830,0.0,0.0,0.0,3.66,1.24,0.0,0.0
20200101:1930,0.0,0.0,0.0,3.7,0.97,0.0,0.0
20200101:2030,0.0,0.0,0.0,2.06,1.17,0.0,0.0
20200101:2130,0.0,0.0,0.0,0.41,1.31,0.0,0.0
20200101:2230,0.0,0.0,0.0,-0.24,1.31,0.0,0.0
20200101:2330,0.0,0.0,0.0,-0.5,1.17,0.0,0.0
20200102:0030,0.0,0.0,0.0,-0.01,0.69,0.0,0.0
20200102:0130,0.0,0.0,0.0,-0.39,0.62,0.0,0.0
20200102:0230,0.0,0.0,0.0,-0.79,0.69,0.0,0.0
20200102:0330,0.0,0.0,0.0,-0.96,0.69,0.0,0.0
20200102:0430,0.0,0.0,0.0,-0.83,0.76,0.0,0.0
20200102:0530,0.0,0.0,0.0,-0.83,0.69,0.0,0.0
20200102:0630,0.0,0.0,0.0,-0.46,0.62,0.0,0.0
20200102:0730,2.51,10.62,2.38,0.01,0.34,0.0,0.0025099999999999996
20200102:0830,157.9,198.51,10.24,0.03,0.55,0.0,0.1579
20200102:0930,349.18,403.7,16.44,1.44,0.41,0.0,0.34918
20200102:1030,470.05,551.6,20.5,4.32,0.28,0.0,0.47005
20200102:1130,538.31,644.1,22.01,5.98,0.28,0.0,0.53831
20200102:1230,539.38,647.99,20.79,7.07,0.34,0.0,0.53938
20200102:1330,478.69,570.36,16.99,7.71,0.28,0.0,0.47869
20200102:1430,347.25,408.3,10.99,7.68,0.21,0.0,0.34725
20200102:1530,147.6,183.07,3.29,7.0,0.07,0.0,0.14759999999999998
20200102:1630,0.0,0.0,0.0,6.17,0.28,0.0,0.0
20200102:1730,0.0,0.0,0.0,5.44,0.69,0.0,0.0
20200102:1830,0.0,0.0,0.0,4.75,0.97,0.0,0.0
20200102:1930,0.0,0.0,0.0,3.39,0.97,0.0,0.0
20200102:2030,0.0,0.0,0.0,2.89,0.97,0.0,0.0
20200102:2130,0.0,0.0,0.0,1.76,1.1,0.0,0.0
20200102:2230,0.0,0.0,0.0,0.88,1.17,0.0,0.0
20200102:2330,0.0,0.0,0.0,0.08,1.31,0.0,0.0
20200103:0030,0.0,0.0,0.0,-0.32,1.31,0.0,0.0
20200103:0130,0.0,0.0,0.0,-0.48,1.31,0.0,0.0
20200103:0230,0.0,0.0,0.0,-0.66,1.24,0.0,0.0
20200103:0330,0.0,0.0,0.0,-0.8,1.24,0.0,0.0
20200103:0430,0.0,0.0,0.0,-0.54,1.1,0.0,0.0
20200103:0530,0.0,0.0,0.0,-0.12,0.9,0.0,0.0
20200103:0630,0.0,0.0,0.0,0.48,0.69,0.0,0.0
20200103:0730,6.08,16.36,2.39,0.76,0.62,0.0,0.00608
20200103:0830,90.28,117.69,10.27,1.1,0.69,0.0,0.09028
20200103:0930,129.2,156.69,16.49,2.11,0.55,0.0,0.12919999999999998
20200103:1030,247.55,287.05,20.57,4.15,0.48,0.0,0.24755000000000002
20200103:1130,280.51,326.8,22.1,5.92,0.34,0.0,0.28051
20200103:1230,346.69,403.88,20.9,6.72,0.28,0.0,0.34669
20200103:1330,252.21,295.53,17.11,7.23,0.28,0.0,0.25221
20200103:1430,168.79,202.29,11.12,7.15,0.34,0.0,0.16879
20200103:1530,36.6,56.11,3.43,6.38,0.41,0.0,0.0366
20200103:1630,0.0,0.0,0.0,5.32,0.83,0.0,0.0
20200103:1730,0.0,0.0,0.0,4.36,1.1,0.0,0.0
20200103:1830,0.0,0.0,0.0,3.68,1.1,0.0,0.0
20200103:1930,0.0,0.0,0.0,3.08,1.1,0.0,0.0
20200103:2030,0.0,0.0,0.0,1.84,1.1,0.0,0.0
20200103:2130,0.0,0.0,0.0,2.26,0.76,0.0,0.0
20200103:2230,0.0,0.0,0.0,1.97,0.55,0.0,0.0
20200103:2330,0.0,0.0,0.0,2.08,0.62,0.0,0.0
20200104:0030,0.0,0.0,0.0,1.92,0.62,0.0,0.0
20200104:0130,0.0,0.0,0.0,1.7,0.69,0.0,0.0
20200104:0230,0.0,0.0,0.0,1.53,0.83,0.0,0.0
20200104:0330,0.0,0.0,0.0,0.89,0.97,0.0,0.0
20200104:0430,0.0,0.0,0.0,1.21,0.83,0.0,0.0
20200104:0530,0.0,0.0,0.0,1.02,0.9,0.0,0.0
20200104:0630,0.0,0.0,0.0,0.62,1.1,0.0,0.0
20200104:0730,3.51,12.33,2.41,0.47,0.83,0.0,0.0035099999999999997
20200104:0830,178.79,223.0,10.3,0.48,0.9,0.0,0.17879
20200104:0930,337.59,389.56,16.54,1.98,0.83,0.0,0.33759
20200104:1030,455.72,534.77,20.65,5.63,0.62,0.0,0.45572
20200104:1130,543.34,654.76,22.2,7.96,0.55,0.0,0.54334
20200104:1230,530.43,644.9,21.02,9.69,0.34,0.0,0.53043
20200104:1330,485.99,588.18,17.24,10.57,0.34,0.0,0.48599000000000003
20200104:1430,354.92,423.24,11.26,10.6,0.28,0.0,0.35492
20200104:1530,155.43,194.41,3.57,10.48,0.34,0.0,0.15543
20200104:1630,0.0,0.0,0.0,9.72,0.76,0.0,0.0
20200104:1730,0.0,0.0,0.0,7.78,1.24,0.0,0.0
20200104:1830,0.0,0.0,0.0,5.0,1.66,0.0,0.0
20200104:1930,0.0,0.0,0.0,2.95,1.93,0.0,0.0
20200104:2030,0.0,0.0,0.0,5.94,1.03,0.0,0.0
20200104:2130,0.0,0.0,0.0,3.48,1.31,0.0,0.0
20200104:2230,0.0,0.0,0.0,2.79,1.45,0.0,0.0
20200104:2330,0.0,0.0,0.0,1.28,1.66,0.0,0.0
20200105:0030,0.0,0.0,0.0,0.32,1.79,0.0,0.0
20200105:0130,0.0,0.0,0.0,-0.79,1.86,0.0,0.0
20200105:0230,0.0,0.0,0.0,-1.15,1.59,0.0,0.0
20200105:0330,0.0,0.0,0.0,-0.3,1.17,0.0,0.0
20200105:0430,0.0,0.0,0.0,-0.92,1.31,0.0,0.0
20200105:0530,0.0,0.0,0.0,-1.07,1.31,0.0,0.0
20200105:0630,0.0,0.0,0.0,-0.83,1.24,0.0,0.0
20200105:0730,3.46,12.24,2.43,0.25,1.03,0.0,0.00346
20200105:0830,182.57,226.59,10.34,-0.63,1.17,0.0,0.18256999999999998
20200105:0930,357.82,413.78,16.61,2.15,0.83,0.0,0.35781999999999997
20200105:1030,474.94,561.54,20.73,6.36,0.55,0.0,0.47494
