time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20231023:0309,0.0,0.0,0.0,15.91,3.31,0.0,0.0
20231023:0409,0.0,0.0,0.0,15.53,3.1,0.0,0.0
20231023:0509,0.0,0.0,0.0,15.34,2.76,0.0,0.0
20231023:0609,0.0,0.0,0.0,15.3,2.62,0.0,0.0
20231023:0709,87.24,125.21,7.91,15.88,2.62,0.0,0.08724
20231023:0809,143.81,181.3,18.7,17.45,2.34,0.0,0.14381
20231023:0909,553.78,661.22,28.28,20.17,2.9,0.0,0.5537799999999999
20231023:1009,598.87,717.28,35.92,21.27,3.59,0.0,0.59887
20231023:1109,153.41,195.09,40.65,21.72,4.07,0.0,0.15341
20231023:1209,632.78,758.45,41.59,21.99,4.55,0.0,0.63278
20231023:1309,391.8,468.11,38.52,22.04,4.62,0.0,0.39180000000000004
20231023:1409,502.52,597.25,32.1,22.04,4.62,0.0,0.50252
20231023:1509,402.08,480.22,23.31,21.57,4.41,0.0,0.40208
20231023:1609,25.57,44.65,13.0,20.8,4.28,0.0,0.02557
20231023:1709,0.0,2.84,1.77,19.57,3.72,0.0,0.0
20231023:1809,0.0,0.0,0.0,19.06,3.59,0.0,0.0
20231023:1909,0.0,0.0,0.0,18.89,3.45,0.0,0.0
20231023:2009,0.0,0.0,0.0,18.27,3.59,0.0,0.0
20231023:2109,0.0,0.0,0.0,17.51,4.0,0.0,0.0
20231023:2209,0.0,0.0,0.0,16.9,4.07,0.0,0.0
20231023:2309,0.0,0.0,0.0,16.42,4.0,0.0,0.0
20231024:0009,0.0,0.0,0.0,15.94,3.93,0.0,0.0
20231024:0109,0.0,0.0,0.0,15.77,4.07,0.0,0.0
20231024:0209,0.0,0.0,0.0,15.66,4.0,0.0,0.0
20231024:0309,0.0,0.0,0.0,15.31,3.72,0.0,0.0
20231024:0409,0.0,0.0,0.0,14.93,3.45,0.0,0.0
20231024:0509,0.0,0.0,0.0,14.43,3.1,0.0,0.0
20231024:0609,0.0,0.0,0.0,14.14,2.76,0.0,0.0
20231024:0709,104.68,147.64,7.7,14.12,2.41,0.0,0.10468000000000001
20231024:0809,347.32,412.61,18.47,15.75,2.41,0.0,0.34732
20231024:0909,536.82,633.6,28.01,17.68,2.69,0.0,0.5368200000000001
20231024:1009,663.93,794.08,35.61,19.0,3.03,0.0,0.6639299999999999
20231024:1109,725.51,875.43,40.31,20.18,3.52,0.0,0.72551
20231024:1209,760.81,916.1,41.23,20.84,4.41,0.0,0.76081
20231024:1309,705.52,839.21,38.18,20.92,5.17,0.0,0.70552
