time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20190101:0010,0.0,0.0,0.0,1.11,1.1,0.0,0.0
20190101:0110,0.0,0.0,0.0,0.31,1.24,0.0,0.0
20190101:0210,0.0,0.0,0.0,-0.34,1.45,0.0,0.0
20190101:0310,0.0,0.0,0.0,-0.7,1.52,0.0,0.0
20190101:0410,0.0,0.0,0.0,-0.73,1.45,0.0,0.0
20190101:0510,0.0,0.0,0.0,-0.36,1.24,0.0,0.0
20190101:0610,0.0,0.0,0.0,0.64,0.97,0.0,0.0
20190101:0710,0.0,0.0,0.0,0.77,1.03,0.0,0.0
20190101:0810,30.15,47.45,7.84,0.03,1.1,0.0,0.03015
20190101:0910,315.87,368.74,14.61,1.48,0.62,0.0,0.31587
20190101:1010,219.1,255.46,19.39,3.55,0.34,0.0,0.2191
20190101:1110,544.36,645.33,21.74,4.54,0.48,0.0,0.5443600000000001
20190101:1210,589.21,704.87,21.38,5.3,0.69,0.0,0.58921
20190101:1310,547.39,649.18,18.37,5.72,0.76,0.0,0.5473899999999999
20190101:1410,447.21,522.11,13.02,5.72,0.76,0.0,0.44721
20190101:1510,211.57,249.67,5.81,5.03,0.69,0.0,0.21156999999999998
20190101:1610,0.0,0.0,0.0,3.68,0.62,0.0,0.0
20190101:1710,0.0,0.0,0.0,3.24,0.69,0.0,0.0
20190101:1810,0.0,0.0,0.0,3.1,0.55,0.0,0.0
20190101:1910,0.0,0.0,0.0,3.06,0.48,0.0,0.0
20190101:2010,0.0,0.0,0.0,2.32,0.83,0.0,0.0
20190101:2110,0.0,0.0,0.0,0.56,1.1,0.0,0.0
20190101:2210,0.0,0.0,0.0,-0.05,1.1,0.0,0.0
20190101:2310,0.0,0.0,0.0,-0.5,1.1,0.0,0.0
20190102:0010,0.0,0.0,0.0,-0.84,1.17,0.0,0.0
20190102:0110,0.0,0.0,0.0,-1.07,1.17,0.0,0.0
20190102:0210,0.0,0.0,0.0,-0.88,1.17,0.0,0.0
20190102:0310,0.0,0.0,0.0,-0.78,1.1,0.0,0.0
20190102:0410,0.0,0.0,0.0,-0.96,1.17,0.0,0.0
20190102:0510,0.0,0.0,0.0,-1.77,1.38,0.0,0.0
20190102:0610,0.0,0.0,0.0,-2.25,1.38,0.0,0.0
20190102:0710,0.0,0.0,0.0,0.24,0.97,0.0,0.0
20190102:0810,134.85,181.51,7.85,0.02,1.03,0.0,0.13485
20190102:0910,324.33,380.65,14.64,2.47,0.62,0.0,0.32433
20190102:1010,476.85,566.33,19.45,5.03,0.07,0.0,0.47685
20190102:1110,562.91,682.78,21.82,7.15,0.28,0.0,0.56291
20190102:1210,594.14,720.26,21.48,8.12,0.9,0.0,0.59414
20190102:1310,562.36,672.13,18.48,8.17,1.31,0.0,0.56236
20190102:1410,465.91,548.64,13.14,7.65,1.1,0.0,0.46591000000000005
20190102:1510,254.56,300.12,5.94,6.18,0.55,0.0,0.25456
20190102:1610,0.0,0.0,0.0,4.94,0.55,0.0,0.0
20190102:1710,0.0,0.0,0.0,4.14,0.55,0.0,0.0
20190102:1810,0.0,0.0,0.0,3.68,0.62,0.0,0.0
20190102:1910,0.0,0.0,0.0,5.05,1.1,0.0,0.0
20190102:2010,0.0,0.0,0.0,3.97,1.17,0.0,0.0
20190102:2110,0.0,0.0,0.0,2.12,1.24,0.0,0.0
20190102:2210,0.0,0.0,0.0,0.86,1.38,0.0,0.0
20190102:2310,0.0,0.0,0.0,0.61,1.31,0.0,0.0
20190103:0010,0.0,0.0,0.0,0.83,1.1,0.0,0.0
20190103:0110,0.0,0.0,0.0,0.02,1.17,0.0,0.0
20190103:0210,0.0,0.0,0.0,-1.54,1.45,0.0,0.0
20190103:0310,0.0,0.0,0.0,-1.98,1.45,0.0,0.0
20190103:0410,0.0,0.0,0.0,-1.8,1.38,0.0,0.0
20190103:0510,0.0,0.0,0.0,-1.49,1.24,0.0,0.0
20190103:0610,0.0,0.0,0.0,-1.33,1.24,0.0,0.0
20190103:0710,0.0,0.0,0.0,-1.22,0.97,0.0,0.0
20190103:0810,145.76,196.43,7.87,-0.78,1.03,0.0,0.14576
20190103:0910,346.76,405.17,14.68,0.93,0.55,0.0,0.34676
20190103:1010,483.76,567.35,19.51,3.25,0.34,0.0,0.48375999999999997
20190103:1110,569.48,672.29,21.9,4.33,0.97,0.0,0.56948
20190103:1210,604.41,722.48,21.59,4.71,0.76,0.0,0.60441
20190103:1310,567.4,672.19,18.6,4.92,0.83,0.0,0.5674
20190103:1410,463.17,537.57,13.27,4.61,0.97,0.0,0.46317
20190103:1510,254.57,296.57,6.08,3.7,0.55,0.0,0.25457
20190103:1610,0.0,0.0,0.0,2.4,0.34,0.0,0.0
20190103:1710,0.0,0.0,0.0,1.36,0.69,0.0,0.0
20190103:1810,0.0,0.0,0.0,0.47,1.1,0.0,0.0
20190103:1910,0.0,0.0,0.0,3.3,0.76,0.0,0.0
20190103:2010,0.0,0.0,0.0,2.9,0.9,0.0,0.0
20190103:2110,0.0,0.0,0.0,2.24,1.17,0.0,0.0
20190103:2210,0.0,0.0,0.0,1.32,1.31,0.0,0.0
20190103:2310,0.0,0.0,0.0,1.57,1.1,0.0,0.0
20190104:0010,0.0,0.0,0.0,1.16,1.03,0.0,0.0
20190104:0110,0.0,0.0,0.0,-0.73,1.38,0.0,0.0
20190104:0210,0.0,0.0,0.0,-1.14,1.38,0.0,0.0
20190104:0310,0.0,0.0,0.0,-0.48,1.17,0.0,0.0
20190104:0410,0.0,0.0,0.0,0.11,0.9,0.0,0.0
20190104:0510,0.0,0.0,0.0,-0.07,0.69,0.0,0.0
20190104:0610,0.0,0.0,0.0,-0.25,0.69,0.0,0.0
20190104:0710,0.0,0.0,0.0,-1.77,0.97,0.0,0.0
20190104:0810,82.91,113.09,7.9,-1.13,0.83,0.0,0.08291
20190104:0910,202.59,236.36,14.73,-0.31,0.48,0.0,0.20259
20190104:1010,445.43,515.03,19.58,2.75,0.76,0.0,0.44543
20190104:1110,588.14,697.39,21.99,3.95,0.83,0.0,0.58814
20190104:1210,553.65,652.35,21.7,4.54,0.9,0.0,0.55365
20190104:1310,427.99,494.88,18.73,4.59,0.76,0.0,0.42799
20190104:1410,288.8,332.08,13.41,4.14,0.48,0.0,0.2888
20190104:1510,183.44,216.07,6.22,2.95,0.62,0.0,0.18344
20190104:1610,0.0,0.0,0.0,1.11,0.97,0.0,0.0
