time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20230104:1630,9.75,22.67,5.33,15.19,2.62,0.0,0.00975
20230104:1730,0.0,0.0,0.0,14.03,2.21,0.0,0.0
20230104:1830,0.0,0.0,0.0,13.1,2.0,0.0,0.0
20230104:1930,0.0,0.0,0.0,12.59,1.52,0.0,0.0
20230104:2030,0.0,0.0,0.0,11.97,1.59,0.0,0.0
20230104:2130,0.0,0.0,0.0,11.25,1.59,0.0,0.0
20230104:2230,0.0,0.0,0.0,10.82,1.59,0.0,0.0
20230104:2330,0.0,0.0,0.0,10.17,1.52,0.0,0.0
20230105:0030,0.0,0.0,0.0,9.62,1.45,0.0,0.0
20230105:0130,0.0,0.0,0.0,9.1,1.45,0.0,0.0
20230105:0230,0.0,0.0,0.0,8.84,1.52,0.0,0.0
20230105:0330,0.0,0.0,0.0,8.61,1.52,0.0,0.0
20230105:0430,0.0,0.0,0.0,8.2,1.52,0.0,0.0
20230105:0530,0.0,0.0,0.0,8.05,1.52,0.0,0.0
20230105:0630,0.0,0.0,0.0,8.14,1.52,0.0,0.0
20230105:0730,0.76,7.43,0.34,7.88,1.52,0.0,0.00076
20230105:0830,207.8,249.89,10.29,7.98,1.45,0.0,0.2078
20230105:0930,401.21,460.82,18.88,10.27,1.38,0.0,0.40120999999999996
20230105:1030,476.66,548.06,25.51,12.46,1.86,0.0,0.47666000000000003
20230105:1130,530.28,611.95,29.51,13.42,2.28,0.0,0.53028
20230105:1230,592.53,688.69,30.34,13.94,2.41,0.0,0.59253
20230105:1330,562.2,654.07,27.88,14.33,2.34,0.0,0.5622
20230105:1430,446.82,519.14,22.49,14.6,2.21,0.0,0.44682
20230105:1530,291.84,346.92,14.81,14.7,2.34,0.0,0.29184
20230105:1630,10.55,23.72,5.48,13.92,2.62,0.0,0.01055
20230105:1730,0.0,0.0,0.0,12.85,2.0,0.0,0.0
20230105:1830,0.0,0.0,0.0,12.11,1.59,0.0,0.0
20230105:1930,0.0,0.0,0.0,11.48,0.9,0.0,0.0
20230105:2030,0.0,0.0,0.0,11.24,0.41,0.0,0.0
20230105:2130,0.0,0.0,0.0,11.03,0.21,0.0,0.0
20230105:2230,0.0,0.0,0.0,10.85,0.34,0.0,0.0
20230105:2330,0.0,0.0,0.0,10.67,0.48,0.0,0.0
20230106:0030,0.0,0.0,0.0,10.57,0.55,0.0,0.0
20230106:0130,0.0,0.0,0.0,10.44,0.55,0.0,0.0
20230106:0230,0.0,0.0,0.0,10.28,0.69,0.0,0.0
20230106:0330,0.0,0.0,0.0,10.01,0.76,0.0,0.0
20230106:0430,0.0,0.0,0.0,9.61,0.9,0.0,0.0
20230106:0530,0.0,0.0,0.0,9.38,1.03,0.0,0.0
20230106:0630,0.0,0.0,0.0,9.3,1.03,0.0,0.0
20230106:0730,0.67,7.29,0.34,10.58,1.03,0.0,0.00067
20230106:0830,162.96,202.25,10.31,10.55,1.1,0.0,0.16296000000000002
20230106:0930,322.37,373.57,18.92,11.11,0.97,0.0,0.32237
20230106:1030,453.82,523.72,25.57,12.92,1.72,0.0,0.45382
20230106:1130,570.95,665.13,29.61,13.89,2.07,0.0,0.5709500000000001
20230106:1230,558.16,649.62,30.47,14.68,2.41,0.0,0.55816
20230106:1330,505.95,586.0,28.02,15.0,2.69,0.0,0.50595
20230106:1430,423.67,491.46,22.64,15.11,2.69,0.0,0.42367
20230106:1530,265.09,316.2,14.96,15.19,2.76,0.0,0.26509
20230106:1630,10.62,23.86,5.63,14.45,2.76,0.0,0.01062
20230106:1730,0.0,0.0,-4.84,13.37,2.0,0.0,0.0
20230106:1830,0.0,0.0,0.0,12.56,1.72,0.0,0.0
20230106:1930,0.0,0.0,0.0,12.31,2.0,0.0,0.0
20230106:2030,0.0,0.0,0.0,11.67,2.07,0.0,0.0
20230106:2130,0.0,0.0,0.0,11.12,2.0,0.0,0.0
20230106:2230,0.0,0.0,0.0,10.95,1.93,0.0,0.0
20230106:2330,0.0,0.0,0.0,10.6,2.0,0.0,0.0
20230107:0030,0.0,0.0,0.0,10.25,2.0,0.0,0.0
20230107:0130,0.0,0.0,0.0,9.98,2.07,0.0,0.0
20230107:0230,0.0,0.0,0.0,9.81,2.14,0.0,0.0
20230107:0330,0.0,0.0,0.0,9.5,2.21,0.0,0.0
20230107:0430,0.0,0.0,0.0,9.07,2.21,0.0,0.0
20230107:0530,0.0,0.0,0.0,8.64,2.21,0.0,0.0
20230107:0630,0.0,0.0,0.0,8.3,2.28,0.0,0.0
20230107:0730,0.19,6.11,0.35,8.79,2.21,0.0,0.00019
20230107:0830,223.43,267.49,10.34,8.58,2.28,0.0,0.22343000000000002
20230107:0930,405.77,465.41,18.97,11.09,2.07,0.0,0.40576999999999996
20230107:1030,524.04,608.64,25.65,14.5,2.21,0.0,0.52404
20230107:1130,592.13,692.34,29.71,16.15,2.97,0.0,0.59213
20230107:1230,643.54,755.98,30.6,16.94,3.38,0.0,0.64354
20230107:1330,590.37,690.54,28.17,17.47,3.66,0.0,0.59037
20230107:1430,505.69,590.25,22.79,17.58,3.79,0.0,0.50569
20230107:1530,339.84,404.09,15.11,17.11,3.72,0.0,0.33984
20230107:1630,10.91,24.43,5.78,16.33,3.45,0.0,0.01091
20230107:1730,0.0,0.0,-4.69,15.41,2.83,0.0,0.0
20230107:1830,0.0,0.0,0.0,14.59,2.69,0.0,0.0
20230107:1930,0.0,0.0,0.0,13.77,2.48,0.0,0.0
20230107:2030,0.0,0.0,0.0,12.8,2.34,0.0,0.0
20230107:2130,0.0,0.0,0.0,11.87,2.48,0.0,0.0
20230107:2230,0.0,0.0,0.0,11.04,2.83,0.0,0.0
20230107:2330,0.0,0.0,0.0,10.53,2.83,0.0,0.0
20230108:0030,0.0,0.0,0.0,10.14,2.83,0.0,0.0
20230108:0130,0.0,0.0,0.0,9.86,3.03,0.0,0.0
20230108:0230,0.0,0.0,0.0,9.91,3.38,0.0,0.0
20230108:0330,0.0,0.0,0.0,9.94,3.52,0.0,0.0
20230108:0430,0.0,0.0,0.0,9.92,3.66,0.0,0.0
20230108:0530,0.0,0.0,0.0,10.06,3.93,0.0,0.0
20230108:0630,0.0,0.0,0.0,10.39,4.07,0.0,0.0
20230108:0730,1.08,8.19,0.36,11.03,4.41,0.0,0.00108
20230108:0830,217.92,263.06,10.37,11.48,4.48,0.0,0.21791999999999997
