time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20190101:0030,0.0,0.0,0.0,1.11,1.1,0.0,0.0
20190101:0130,0.0,0.0,0.0,0.31,1.24,0.0,0.0
20190101:0230,0.0,0.0,0.0,-0.34,1.45,0.0,0.0
20190101:0330,0.0,0.0,0.0,-0.7,1.52,0.0,0.0
20190101:0430,0.0,0.0,0.0,-0.73,1.45,0.0,0.0
20190101:0530,0.0,0.0,0.0,-0.36,1.24,0.0,0.0
20190101:0630,0.0,0.0,0.0,0.64,0.97,0.0,0.0
20190101:0730,4.86,14.51,2.38,0.77,1.03,0.0,0.004860000000000001
20190101:0830,163.21,203.15,10.22,0.03,1.1,0.0,0.16321000000000002
20190101:0930,320.37,369.17,16.4,1.48,0.62,0.0,0.32037
20190101:1030,462.1,539.05,20.44,3.55,0.34,0.0,0.4621
20190101:1130,534.19,631.49,21.92,4.54,0.48,0.0,0.53419
20190101:1230,543.03,642.67,20.69,5.3,0.69,0.0,0.54303
20190101:1330,487.25,571.26,16.87,5.72,0.76,0.0,0.48725
20190101:1430,349.66,405.06,10.87,5.72,0.76,0.0,0.34966
20190101:1530,145.67,179.04,3.16,5.03,0.69,0.0,0.14567
20190101:1630,0.0,0.0,0.0,3.68,0.62,0.0,0.0
20190101:1730,0.0,0.0,0.0,3.24,0.69,0.0,0.0
20190101:1830,0.0,0.0,0.0,3.1,0.55,0.0,0.0
20190101:1930,0.0,0.0,0.0,3.06,0.48,0.0,0.0
20190101:2030,0.0,0.0,0.0,2.32,0.83,0.0,0.0
20190101:2130,0.0,0.0,0.0,0.56,1.1,0.0,0.0
20190101:2230,0.0,0.0,0.0,-0.05,1.1,0.0,0.0
20190101:2330,0.0,0.0,0.0,-0.5,1.1,0.0,0.0
20190102:0030,0.0,0.0,0.0,-0.84,1.17,0.0,0.0
20190102:0130,0.0,0.0,0.0,-1.07,1.17,0.0,0.0
20190102:0230,0.0,0.0,0.0,-0.88,1.17,0.0,0.0
20190102:0330,0.0,0.0,0.0,-0.78,1.1,0.0,0.0
20190102:0430,0.0,0.0,0.0,-0.96,1.17,0.0,0.0
20190102:0530,0.0,0.0,0.0,-1.77,1.38,0.0,0.0
20190102:0630,0.0,0.0,0.0,-2.25,1.38,0.0,0.0
20190102:0730,3.51,12.33,2.38,0.24,0.97,0.0,0.0035099999999999997
20190102:0830,185.37,230.03,10.24,0.02,1.03,0.0,0.18537
20190102:0930,351.21,407.33,16.44,2.47,0.62,0.0,0.35120999999999997
20190102:1030,498.88,593.6,20.5,5.03,0.07,0.0,0.49888
20190102:1130,567.06,688.65,22.01,7.15,0.28,0.0,0.5670599999999999
20190102:1230,575.63,695.22,20.79,8.12,0.9,0.0,0.57563
20190102:1330,508.4,601.68,16.99,8.17,1.31,0.0,0.5084
20190102:1430,368.53,430.2,10.99,7.65,1.1,0.0,0.36852999999999997
20190102:1530,156.52,192.11,3.29,6.18,0.55,0.0,0.15652000000000002
20190102:1630,0.0,0.0,0.0,4.94,0.55,0.0,0.0
20190102:1730,0.0,0.0,0.0,4.14,0.55,0.0,0.0
20190102:1830,0.0,0.0,0.0,3.68,0.62,0.0,0.0
20190102:1930,0.0,0.0,0.0,5.05,1.1,0.0,0.0
20190102:2030,0.0,0.0,0.0,3.97,1.17,0.0,0.0
