time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20191029:2130,0.0,0.0,0.0,14.24,0.34,0.0,0.0
20191029:2230,0.0,0.0,0.0,13.22,0.69,0.0,0.0
20191029:2330,0.0,0.0,0.0,12.87,0.97,0.0,0.0
20191030:0030,0.0,0.0,0.0,12.78,0.97,0.0,0.0
20191030:0130,0.0,0.0,0.0,12.89,0.97,0.0,0.0
20191030:0230,0.0,0.0,0.0,12.5,1.03,0.0,0.0
20191030:0330,0.0,0.0,0.0,12.19,1.1,0.0,0.0
20191030:0430,0.0,0.0,0.0,12.13,1.1,0.0,0.0
20191030:0530,0.0,0.0,0.0,12.0,1.1,0.0,0.0
20191030:0630,0.77,12.3,3.37,12.39,0.97,0.0,0.0007700000000000001
20191030:0730,66.76,102.66,12.64,12.81,0.83,0.0,0.06676
20191030:0830,142.14,179.97,20.63,13.38,0.9,0.0,0.14214
20191030:0930,216.49,260.69,26.77,13.89,1.03,0.0,0.21649000000000002
20191030:1030,184.49,223.77,30.42,14.52,1.31,0.0,0.18449000000000002
20191030:1130,232.75,278.81,31.09,14.64,1.31,0.0,0.23275
20191030:1230,90.24,118.52,28.67,14.93,1.38,0.0,0.09024
20191030:1330,77.85,105.32,23.51,14.48,1.38,0.0,0.07784999999999999
20191030:1430,31.22,50.61,16.23,14.25,1.52,0.0,0.031219999999999998
20191030:1530,1.54,9.21,7.45,13.73,1.45,0.0,0.0015400000000000001
20191030:1630,0.0,0.0,-2.32,13.18,1.45,0.0,0.0
20191030:1730,0.0,0.0,0.0,12.79,1.45,0.0,0.0
20191030:1830,0.0,0.0,0.0,12.48,1.45,0.0,0.0
20191030:1930,0.0,0.0,0.0,12.68,1.66,0.0,0.0
20191030:2030,0.0,0.0,0.0,12.37,1.59,0.0,0.0
20191030:2130,0.0,0.0,0.0,12.06,1.72,0.0,0.0
20191030:2230,0.0,0.0,0.0,11.83,1.66,0.0,0.0
20191030:2330,0.0,0.0,0.0,11.57,1.52,0.0,0.0
20191031:0030,0.0,0.0,0.0,11.33,1.52,0.0,0.0
20191031:0130,0.0,0.0,0.0,11.07,1.52,0.0,0.0
20191031:0230,0.0,0.0,0.0,10.87,1.52,0.0,0.0
20191031:0330,0.0,0.0,0.0,10.52,1.52,0.0,0.0
20191031:0430,0.0,0.0,0.0,10.28,1.45,0.0,0.0
20191031:0530,0.0,0.0,0.0,10.03,1.38,0.0,0.0
20191031:0630,0.0,1.07,3.13,9.85,1.24,0.0,0.0
20191031:0730,1.93,9.88,12.37,9.97,1.31,0.0,0.0019299999999999999
20191031:0830,8.15,20.0,20.34,10.09,1.24,0.0,0.008150000000000001
20191031:0930,27.65,45.66,26.46,10.17,1.1,0.0,0.027649999999999997
20191031:1030,18.67,34.39,30.1,10.42,1.17,0.0,0.018670000000000003
20191031:1130,28.52,46.81,30.76,10.68,1.24,0.0,0.02852
20191031:1230,12.99,26.9,28.35,10.84,1.45,0.0,0.01299
20191031:1330,8.28,20.24,23.22,10.66,1.52,0.0,0.00828
20191031:1430,4.03,13.62,15.96,10.61,1.38,0.0,0.004030000000000001
20191031:1530,0.08,5.85,7.2,10.56,1.1,0.0,8e-05
20191031:1630,0.0,0.0,-2.56,10.38,0.97,0.0,0.0
20191031:1730,0.0,0.0,0.0,10.19,0.9,0.0,0.0
20191031:1830,0.0,0.0,0.0,10.06,0.97,0.0,0.0
20191031:1930,0.0,0.0,0.0,10.33,0.76,0.0,0.0
20191031:2030,0.0,0.0,0.0,10.38,0.97,0.0,0.0
20191031:2130,0.0,0.0,0.0,10.28,0.97,0.0,0.0
20191031:2230,0.0,0.0,0.0,10.19,0.9,0.0,0.0
20191031:2330,0.0,0.0,0.0,10.0,0.97,0.0,0.0
20191101:0030,0.0,0.0,0.0,10.0,1.03,0.0,0.0
20191101:0130,0.0,0.0,0.0,9.9,1.03,0.0,0.0
20191101:0230,0.0,0.0,0.0,9.67,0.97,0.0,0.0
20191101:0330,0.0,0.0,0.0,9.65,0.97,0.0,0.0
20191101:0430,0.0,0.0,0.0,9.55,1.03,0.0,0.0
20191101:0530,0.0,0.0,0.0,9.54,0.97,0.0,0.0
20191101:0630,0.0,2.78,2.89,9.42,0.76,0.0,0.0
20191101:0730,2.8,11.46,12.12,9.49,0.55,0.0,0.0028
20191101:0830,12.92,26.71,20.06,9.82,0.62,0.0,0.01292
20191101:0930,37.46,57.5,26.16,10.03,0.83,0.0,0.03746
20191101:1030,66.99,91.31,29.78,10.24,0.83,0.0,0.06699
20191101:1130,42.66,63.83,30.44,10.78,0.97,0.0,0.04266
20191101:1230,35.0,54.72,28.04,10.78,0.9,0.0,0.035
20191101:1330,20.04,36.21,22.92,10.76,0.83,0.0,0.02004
20191101:1430,9.24,21.63,15.69,10.64,0.76,0.0,0.00924
20191101:1530,0.63,7.19,6.95,10.4,0.69,0.0,0.00063
20191101:1630,0.0,0.0,-2.79,10.13,0.76,0.0,0.0
20191101:1730,0.0,0.0,0.0,9.82,0.69,0.0,0.0
20191101:1830,0.0,0.0,0.0,9.43,0.41,0.0,0.0
20191101:1930,0.0,0.0,0.0,9.17,0.69,0.0,0.0
20191101:2030,0.0,0.0,0.0,8.93,0.76,0.0,0.0
20191101:2130,0.0,0.0,0.0,8.69,0.62,0.0,0.0
20191101:2230,0.0,0.0,0.0,8.53,0.48,0.0,0.0
20191101:2330,0.0,0.0,0.0,8.38,0.48,0.0,0.0
20191102:0030,0.0,0.0,0.0,8.15,0.41,0.0,0.0
20191102:0130,0.0,0.0,0.0,8.05,0.34,0.0,0.0
20191102:0230,0.0,0.0,0.0,7.86,0.28,0.0,0.0
20191102:0330,0.0,0.0,0.0,7.69,0.28,0.0,0.0
20191102:0430,0.0,0.0,0.0,7.63,0.34,0.0,0.0
20191102:0530,0.0,0.0,0.0,7.59,0.21,0.0,0.0
20191102:0630,0.0,5.61,2.65,7.5,0.07,0.0,0.0
20191102:0730,25.34,44.23,11.86,7.29,0.34,0.0,0.02534
20191102:0830,48.01,69.39,19.78,7.68,0.34,0.0,0.04801
20191102:0930,54.25,76.24,25.85,8.1,0.34,0.0,0.05425
20191102:1030,52.08,74.24,29.46,8.47,0.41,0.0,0.05208
20191102:1130,128.32,159.09,30.12,8.74,0.48,0.0,0.12832
20191102:1230,91.76,119.32,27.73,9.23,0.62,0.0,0.09176000000000001
20191102:1330,63.26,87.33,22.64,9.48,0.83,0.0,0.06326
20191102:1430,15.66,30.34,15.43,9.55,0.9,0.0,0.01566
20191102:1530,3.1,11.99,6.71,9.53,0.83,0.0,0.0031
20191102:1630,0.0,0.0,-3.02,9.5,0.76,0.0,0.0
20191102:1730,0.0,0.0,0.0,9.42,0.76,0.0,0.0
20191102:1830,0.0,0.0,0.0,9.32,0.55,0.0,0.0
20191102:1930,0.0,0.0,0.0,8.6,0.62,0.0,0.0
20191102:2030,0.0,0.0,0.0,8.55,0.48,0.0,0.0
20191102:2130,0.0,0.0,0.0,8.51,0.62,0.0,0.0
20191102:2230,0.0,0.0,0.0,8.59,1.03,0.0,0.0
20191102:2330,0.0,0.0,0.0,8.65,0.97,0.0,0.0
20191103:0030,0.0,0.0,0.0,8.71,0.83,0.0,0.0
20191103:0130,0.0,0.0,0.0,8.68,0.62,0.0,0.0
20191103:0230,0.0,0.0,0.0,8.66,0.34,0.0,0.0
20191103:0330,0.0,0.0,0.0,8.66,0.28,0.0,0.0
20191103:0430,0.0,0.0,0.0,8.55,0.21,0.0,0.0
20191103:0530,0.0,0.0,0.0,8.45,0.34,0.0,0.0
20191103:0630,0.0,3.43,2.41,8.4,0.62,0.0,0.0
20191103:0730,5.6,16.02,11.6,7.81,0.83,0.0,0.0056
20191103:0830,21.44,37.62,19.5,8.08,0.62,0.0,0.02144
20191103:0930,43.7,64.41,25.56,8.39,0.9,0.0,0.0437
20191103:1030,59.76,83.04,29.15,8.86,1.17,0.0,0.05976
20191103:1130,79.29,104.48,29.8,9.31,0.97,0.0,0.07929
20191103:1230,94.0,121.5,27.43,9.7,0.69,0.0,0.094
20191103:1330,60.73,83.74,22.36,10.09,0.55,0.0,0.06073
20191103:1430,105.72,133.91,15.17,9.93,0.14,0.0,0.10572
20191103:1530,72.9,99.23,6.47,10.11,0.41,0.0,0.0729
20191103:1630,0.0,0.0,-3.24,9.71,0.97,0.0,0.0
20191103:1730,0.0,0.0,0.0,8.71,0.76,0.0,0.0
20191103:1830,0.0,0.0,0.0,7.55,1.1,0.0,0.0
20191103:1930,0.0,0.0,0.0,7.47,1.17,0.0,0.0
20191103:2030,0.0,0.0,0.0,6.83,1.1,0.0,0.0
20191103:2130,0.0,0.0,0.0,6.12,1.03,0.0,0.0
20191103:2230,0.0,0.0,0.0,6.02,0.83,0.0,0.0
