time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20200105:2310,0.0,0.0,0.0,1.56,0.97,0.0,0.0
20200106:0010,0.0,0.0,0.0,0.45,1.17,0.0,0.0
20200106:0110,0.0,0.0,0.0,0.31,1.1,0.0,0.0
20200106:0210,0.0,0.0,0.0,0.36,1.03,0.0,0.0
20200106:0310,0.0,0.0,0.0,-0.12,1.1,0.0,0.0
20200106:0410,0.0,0.0,0.0,-0.51,1.17,0.0,0.0
20200106:0510,0.0,0.0,0.0,-0.58,1.24,0.0,0.0
20200106:0610,0.0,0.0,0.0,-0.24,1.17,0.0,0.0
20200106:0710,0.0,0.0,0.0,0.44,0.9,0.0,0.0
20200106:0810,112.32,151.47,7.98,0.0,0.97,0.0,0.11231999999999999
20200106:0910,324.33,378.66,14.85,1.37,0.62,0.0,0.32433
20200106:1010,438.03,513.55,19.75,4.02,0.14,0.0,0.43803
20200106:1110,512.81,609.77,22.2,5.28,0.21,0.0,0.51281
20200106:1210,573.83,689.79,21.94,5.98,0.48,0.0,0.5738300000000001
20200106:1310,557.29,665.66,19.0,6.34,0.69,0.0,0.55729
20200106:1410,468.1,549.5,13.7,6.17,0.76,0.0,0.4681
20200106:1510,296.72,347.08,6.52,5.39,0.62,0.0,0.29672000000000004
20200106:1610,0.0,0.0,0.0,3.63,0.9,0.0,0.0
20200106:1710,0.0,0.0,0.0,3.11,0.97,0.0,0.0
20200106:1810,0.0,0.0,0.0,2.7,0.9,0.0,0.0
20200106:1910,0.0,0.0,0.0,2.14,1.03,0.0,0.0
20200106:2010,0.0,0.0,0.0,1.7,0.97,0.0,0.0
20200106:2110,0.0,0.0,0.0,1.61,0.69,0.0,0.0
20200106:2210,0.0,0.0,0.0,1.45,0.41,0.0,0.0
20200106:2310,0.0,0.0,0.0,1.32,0.62,0.0,0.0
20200107:0010,0.0,0.0,0.0,1.07,0.83,0.0,0.0
20200107:0110,0.0,0.0,0.0,0.96,0.62,0.0,0.0
20200107:0210,0.0,0.0,0.0,0.77,0.69,0.0,0.0
20200107:0310,0.0,0.0,0.0,0.24,0.9,0.0,0.0
20200107:0410,0.0,0.0,0.0,0.25,0.48,0.0,0.0
20200107:0510,0.0,0.0,0.0,0.17,0.41,0.0,0.0
20200107:0610,0.0,0.0,0.0,0.16,0.69,0.0,0.0
20200107:0710,0.0,0.0,0.0,-0.73,0.83,0.0,0.0
20200107:0810,39.12,58.23,8.03,-0.58,0.83,0.0,0.039119999999999995
20200107:0910,334.63,389.27,14.92,0.56,0.69,0.0,0.33463
20200107:1010,501.18,584.52,19.84,2.21,0.55,0.0,0.50118
20200107:1110,557.36,662.31,22.32,3.9,0.34,0.0,0.55736
20200107:1210,592.85,715.4,22.08,5.11,0.28,0.0,0.59285
20200107:1310,543.89,649.07,19.15,5.8,0.41,0.0,0.54389
20200107:1410,471.5,555.75,13.85,6.13,0.48,0.0,0.4715
20200107:1510,296.24,347.28,6.67,5.72,0.48,0.0,0.29624
20200107:1610,0.0,0.0,0.0,4.82,0.41,0.0,0.0
20200107:1710,0.0,0.0,0.0,4.08,0.76,0.0,0.0
