;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed
Locations;Almeria2023;Forli2014;Forli2014;Forli2014;Forli2014;Forli2015;Forli2015;Forli2015;Forli2015;Torino2019;Torino2019;Torino2019;Torino2020;Torino2020;Torino2020;Utrecht2014;Utrecht2014;Utrecht2014;Utrecht2014;Utrecht2015;Utrecht2015;Utrecht2015;Utrecht2015;Utrecht2016;Utrecht2016;Utrecht2016;Utrecht2017;Utrecht2017;Utrecht2017
Profile time series;PG-MERRA2;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH2;PG-ERA5;PG-MERRA2
Subsets;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed
Index;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
2243;0.6;0.07755;0.06904;0.234;0.081;0.07804000000000001;0.44818;0.186;0.065;0.39559;0.4854;0.717;0.68996;0.70915;0.724;0.08261;0.65816;0.492;0.072;0.26493;0.61483;0.664;0.194;0.45216;0.5482;0.758;0.72014;0.6198400000000001;0.778
2244;0.662;0.12436;0.1225;0.235;0.089;0.10447;0.30239;0.182;0.086;0.12093999999999999;0.48816000000000004;0.648;0.76728;0.74801;0.776;0.07281;0.6498200000000001;0.531;0.068;0.35373000000000004;0.63689;0.671;0.256;0.6691;0.6130800000000001;0.781;0.71477;0.5870599999999999;0.796
2245;0.699;0.05777;0.19846;0.192;0.094;0.09135;0.25966;0.162;0.075;0.42519999999999997;0.41026;0.31;0.80803;0.72122;0.774;0.08801;0.53944;0.499;0.071;0.7605;0.56835;0.563;0.389;0.7646799999999999;0.54971;0.729;0.41961000000000004;0.37192000000000003;0.763
2246;0.674;0.43352999999999997;0.13207;0.14;0.256;0.06915;0.10023;0.13;0.065;0.08170000000000001;0.52642;0.197;0.76711;0.7171900000000001;0.722;0.07676999999999999;0.44151;0.383;0.075;0.31097;0.27204;0.483;0.377;0.56731;0.51781;0.65;0.48281;0.35628;0.679
2247;0.565;0.25127;0.13958;0.088;0.186;0.04927;0.04875;0.086;0.048;0.11393;0.40505;0.198;0.6860599999999999;0.6274400000000001;0.621;0.08191;0.33265;0.198;0.073;0.21950999999999998;0.32679;0.402;0.253;0.38423;0.44656999999999997;0.519;0.51947;0.24396;0.543
2248;0.408;0.19632;0.16169;0.07;0.147;0.04591;0.01516;0.045;0.032;0.5123;0.35052999999999995;0.155;0.53258;0.43939;0.464;0.07276;0.26732999999999996;0.102;0.061;0.13658;0.23815;0.297;0.175;0.39992;0.27608;0.343;0.30443000000000003;0.13075;0.363
2249;0.242;0.09598000000000001;0.04044;0.024;0.058;0.06089;0.004019999999999999;0.013;0.023;0.01086;0.14506;0.07;0.35910000000000003;0.28616;0.26;0.05017;0.12581;0.054;0.039;0.09290000000000001;0.1371;0.162;0.096;0.22528;0.10308;0.155;0.22022;0.09234999999999999;0.165
2250;0.081;0.00128;0.0004;0.0;0.003;0.00468;0.0;0.0;0.005;0.0591;0.03596;0.01;0.14757;0.07411;0.049;0.013789999999999998;0.01493;0.012;0.015;0.02146;0.01374;0.03;0.028;0.04194;0.01227;0.025;0.04325;0.01305;0.024
2251;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0
2252;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2253;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2255;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2258;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2259;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2260;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2261;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2262;0.0;0.00522;0.005900000000000001;0.009;0.005;0.0;0.00161;0.011;0.0;0.0;0.00644;0.01;0.0;0.00528;0.012;0.0;0.00304;0.007;0.0;0.0;0.01063;0.031;0.002;0.0;0.0048200000000000005;0.008;0.0;0.00501;0.004
2263;0.071;0.05515;0.0179;0.057;0.073;0.01523;0.00623;0.077;0.022;0.04919;0.047;0.087;0.03626;0.04039;0.088;0.023350000000000003;0.056479999999999995;0.083;0.023;0.11499;0.18721000000000002;0.24;0.136;0.00519;0.08045999999999999;0.067;0.02452;0.04492;0.084
2264;0.293;0.042;0.0421;0.131;0.055;0.03542;0.02256;0.178;0.038;0.17877;0.25109;0.298;0.17734;0.23382;0.288;0.0489;0.15380000000000002;0.216;0.054;0.3679;0.41829;0.471;0.381;0.05973;0.12451999999999999;0.18;0.06089;0.13663;0.296
2265;0.505;0.06741;0.12685;0.256;0.047;0.08582;0.09605;0.31;0.122;0.38779;0.45696;0.495;0.38405;0.43641;0.484;0.17621;0.32671;0.389;0.165;0.5722200000000001;0.59929;0.633;0.572;0.06139;0.07423;0.242;0.25775;0.29619;0.474
2266;0.668;0.08461;0.2327;0.457;0.14;0.15608000000000002;0.16824;0.449;0.201;0.56992;0.61485;0.654;0.56177;0.56225;0.639;0.28463;0.43473;0.573;0.283;0.7121900000000001;0.7057100000000001;0.642;0.701;0.049479999999999996;0.06386;0.259;0.6129;0.5056;0.405
2267;0.775;0.21969999999999998;0.41326999999999997;0.528;0.256;0.28155;0.29207;0.608;0.284;0.69376;0.71663;0.762;0.6846;0.6226900000000001;0.743;0.40093;0.38543;0.672;0.404;0.70382;0.7082999999999999;0.7;0.704;0.09498999999999999;0.37592000000000003;0.219;0.6271;0.65697;0.404
2268;0.829;0.15218;0.35829;0.567;0.252;0.17434;0.4417;0.687;0.198;0.76834;0.76675;0.811;0.7586799999999999;0.7049500000000001;0.795;0.33371;0.33605;0.739;0.364;0.59181;0.75947;0.746;0.657;0.13925;0.48158;0.401;0.51655;0.73499;0.783
2269;0.834;0.24478999999999998;0.34638;0.588;0.397;0.24721;0.34248;0.641;0.282;0.7908999999999999;0.76715;0.808;0.79287;0.6442599999999999;0.793;0.49133;0.44892000000000004;0.727;0.395;0.70069;0.58043;0.743;0.67;0.56644;0.60788;0.774;0.45868000000000003;0.56694;0.783
2270;0.789;0.32079;0.43877999999999995;0.568;0.352;0.25589;0.31204000000000004;0.517;0.293;0.7599400000000001;0.69645;0.756;0.76986;0.69668;0.745;0.47464;0.33099;0.686;0.413;0.48983;0.42119;0.686;0.478;0.71435;0.48262;0.701;0.25129;0.3321;0.701
2271;0.694;0.26486000000000004;0.27687;0.453;0.396;0.13428;0.23115;0.364;0.214;0.68957;0.5833200000000001;0.659;0.69394;0.56771;0.643;0.48036;0.16408;0.556;0.417;0.46855;0.45053;0.556;0.387;0.55549;0.39994999999999997;0.559;0.16756000000000001;0.28446;0.549
2272;0.546;0.34143;0.21377000000000002;0.236;0.354;0.17862999999999998;0.12558;0.21;0.194;0.57047;0.47420999999999996;0.507;0.56209;0.4914;0.485;0.38247000000000003;0.13825;0.38;0.336;0.32591000000000003;0.25203;0.378;0.315;0.36736;0.2906;0.358;0.09048;0.17590999999999998;0.384
2273;0.349;0.14216;0.05582;0.072;0.174;0.12999000000000002;0.04954;0.076;0.122;0.38917;0.25018;0.294;0.36669999999999997;0.27888999999999997;0.273;0.20337;0.08887;0.182;0.214;0.22388;0.10853;0.18;0.218;0.16906000000000002;0.13184;0.143;0.09601000000000001;0.07161;0.181
2274;0.127;0.01225;0.00304;0.002;0.024;0.01348;0.0029100000000000003;0.002;0.023;0.14902;0.07254000000000001;0.056;0.14759;0.07418000000000001;0.055;0.03674;0.01213;0.028;0.056;0.04118;0.01688;0.027;0.06;0.040100000000000004;0.01263;0.028;0.046479999999999994;0.01507;0.029
2275;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0
2276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2277;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2278;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2279;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2280;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2282;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2283;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2284;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2286;0.0;0.00182;0.02892;0.035;0.001;0.00675;0.03145;0.07;0.021;0.0;0.00209;0.009;0.0;0.0071200000000000005;0.014;0.0;0.00862;0.007;0.0;0.0;0.0011200000000000001;0.001;0.0;0.0;0.00064;0.013;0.0;0.00632;0.023
2287;0.077;0.03061;0.15366;0.164;0.021;0.16533;0.23336;0.307;0.201;0.048049999999999995;0.02057;0.076;0.05393;0.04752;0.091;0.02022;0.06387;0.077;0.04;0.02582;0.01488;0.024;0.022;0.0439;0.0112;0.083;0.04007;0.10375;0.16
2288;0.309;0.06908;0.38742000000000004;0.325;0.054;0.40956;0.45596;0.535;0.431;0.09434999999999999;0.06593;0.219;0.16793;0.24122;0.288;0.04374;0.1173;0.156;0.072;0.060950000000000004;0.03597;0.058;0.071;0.06218;0.0405;0.117;0.14442;0.15419;0.332
2289;0.525;0.13225;0.57024;0.505;0.163;0.59904;0.64748;0.688;0.604;0.35936;0.1441;0.4;0.34936;0.43592000000000003;0.485;0.05285;0.11334000000000001;0.234;0.043;0.10111;0.09566;0.152;0.124;0.18771000000000002;0.10382;0.148;0.19216999999999998;0.18493;0.538
2290;0.684;0.33644999999999997;0.67418;0.635;0.29;0.71461;0.80547;0.788;0.705;0.35199;0.19978;0.583;0.46358;0.5881900000000001;0.633;0.12281;0.13163;0.261;0.09;0.10518000000000001;0.14075;0.219;0.137;0.16707;0.11145000000000001;0.168;0.24423;0.32621;0.697
2291;0.789;0.16179;0.73324;0.682;0.3;0.72753;0.87528;0.822;0.747;0.55441;0.32079;0.725;0.68353;0.67268;0.741;0.20471;0.26641000000000004;0.237;0.173;0.28944;0.18958000000000003;0.348;0.217;0.19469999999999998;0.23228000000000001;0.178;0.12506;0.22594;0.787
2292;0.84;0.52193;0.70782;0.713;0.636;0.78908;0.88607;0.822;0.76;0.48822000000000004;0.23589;0.784;0.7622599999999999;0.72272;0.796;0.34063;0.25853;0.185;0.27;0.3049;0.23556;0.522;0.361;0.22993;0.17652;0.203;0.14275;0.28712;0.778
2293;0.829;0.46397000000000005;0.64504;0.692;0.654;0.78923;0.7765299999999999;0.79;0.791;0.11611;0.16058;0.731;0.7770900000000001;0.74971;0.805;0.15703;0.20236;0.169;0.205;0.5190499999999999;0.37536;0.592;0.482;0.27925;0.23359;0.222;0.14596;0.27958;0.763
2294;0.764;0.63114;0.60894;0.614;0.649;0.71846;0.74501;0.694;0.727;0.39594999999999997;0.08695;0.675;0.75198;0.72889;0.759;0.33019;0.16369;0.156;0.302;0.40676999999999996;0.21104;0.597;0.328;0.21278999999999998;0.29629;0.292;0.15657;0.24858000000000002;0.692
2295;0.64;0.5459700000000001;0.46979000000000004;0.479;0.54;0.6296799999999999;0.5512400000000001;0.551;0.617;0.24151;0.12605;0.551;0.6892999999999999;0.64425;0.66;0.07312;0.15350999999999998;0.145;0.084;0.25858;0.23541;0.498;0.142;0.20573;0.30034;0.325;0.17498;0.25639999999999996;0.572
2296;0.471;0.35469;0.32935000000000003;0.298;0.364;0.43463999999999997;0.35678;0.352;0.426;0.04876;0.29629;0.233;0.56962;0.47479000000000005;0.504;0.10986;0.07737000000000001;0.118;0.069;0.12029999999999999;0.16737;0.35;0.172;0.20465;0.23608;0.28;0.29205000000000003;0.20109;0.393
2297;0.252;0.13824;0.10842;0.108;0.162;0.19391;0.11846;0.136;0.207;0.01724;0.11054;0.043;0.37998000000000004;0.29014;0.29;0.09567;0.0415;0.088;0.042;0.19781;0.11339;0.161;0.183;0.21146;0.11456999999999999;0.16;0.21015;0.11932999999999999;0.189
2298;0.081;0.013269999999999999;0.0024500000000000004;0.004;0.022;0.01217;0.00287;0.004;0.027;0.0069299999999999995;0.00607;0.002;0.15706;0.07438;0.064;0.04027;0.00833;0.022;0.036;0.039729999999999994;0.01763;0.031;0.057;0.04764;0.01283;0.034;0.04298;0.013890000000000001;0.029
2299;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0
2300;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2301;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2302;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2306;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2309;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2310;0.0;0.00724;0.033299999999999996;0.055;0.019;0.00758;0.02988;0.065;0.013;0.0;0.0028799999999999997;0.001;0.0;0.00855;0.018;0.0;0.01047;0.01;0.001;0.0;0.00919;0.018;0.005;0.0;0.010039999999999999;0.001;0.0;0.00364;0.008
2311;0.083;0.15553999999999998;0.2325;0.233;0.183;0.15331;0.22366999999999998;0.291;0.171;0.03243;0.05286;0.023;0.02026;0.0441;0.096;0.07948000000000001;0.10829000000000001;0.121;0.084;0.0734;0.15088;0.07;0.092;0.049159999999999995;0.16846;0.025;0.02896;0.0752;0.084
2312;0.314;0.37495;0.44875;0.429;0.397;0.30444;0.39183;0.499;0.33;0.041159999999999995;0.09151999999999999;0.065;0.18347;0.24921000000000001;0.289;0.32616;0.23705;0.362;0.298;0.30923;0.34713;0.193;0.283;0.25046;0.29619999999999996;0.084;0.31293;0.24348;0.208
2313;0.525;0.56369;0.61503;0.587;0.582;0.3817;0.57104;0.587;0.466;0.05686;0.16804;0.126;0.39326;0.45227999999999996;0.479;0.18818000000000001;0.48792;0.457;0.254;0.47179000000000004;0.48656;0.456;0.438;0.18709;0.45308;0.501;0.24168;0.36815;0.328
2314;0.684;0.6964199999999999;0.7219;0.729;0.724;0.5962000000000001;0.76415;0.681;0.585;0.27282;0.24978999999999998;0.186;0.56447;0.59937;0.634;0.42651999999999995;0.54776;0.507;0.409;0.49642000000000003;0.6662;0.554;0.456;0.09716;0.38175;0.717;0.32406;0.46817000000000003;0.344
2315;0.787;0.7751399999999999;0.76301;0.809;0.803;0.50778;0.86439;0.787;0.741;0.17214;0.33981;0.254;0.67906;0.7001900000000001;0.734;0.31123;0.36777;0.545;0.43;0.37309;0.63349;0.646;0.363;0.33807;0.39917;0.682;0.5961000000000001;0.28974;0.56
2316;0.838;0.8096599999999999;0.78235;0.811;0.827;0.89508;0.88571;0.848;0.863;0.15297;0.36538;0.28;0.74601;0.75254;0.791;0.71628;0.23886000000000002;0.574;0.628;0.31560000000000005;0.50615;0.8;0.312;0.08152;0.22105000000000002;0.603;0.16934;0.21713;0.687
2317;0.837;0.7721399999999999;0.7203200000000001;0.759;0.789;0.87013;0.8092;0.806;0.836;0.12611;0.51798;0.243;0.76967;0.7586499999999999;0.795;0.25927999999999995;0.12811;0.588;0.363;0.34939;0.45733999999999997;0.716;0.331;0.20808000000000001;0.17403;0.467;0.15958;0.24615;0.669
2318;0.793;0.70701;0.65499;0.666;0.71;0.7799400000000001;0.65791;0.726;0.752;0.12395999999999999;0.34414999999999996;0.188;0.74739;0.72276;0.748;0.3382;0.07188;0.478;0.398;0.41051;0.44101;0.482;0.386;0.12576;0.11852;0.298;0.16912;0.29514999999999997;0.507
2319;0.698;0.57347;0.51748;0.525;0.578;0.6377200000000001;0.45142000000000004;0.591;0.61;0.07342;0.35287999999999997;0.166;0.67716;0.63877;0.651;0.41620999999999997;0.27473000000000003;0.34;0.403;0.43289999999999995;0.33365;0.337;0.408;0.13671;0.05621;0.2;0.08576;0.17395;0.329
2320;0.551;0.3948;0.33583999999999997;0.339;0.397;0.4315;0.32248000000000004;0.394;0.424;0.13205;0.23914;0.146;0.5595800000000001;0.50066;0.496;0.15300999999999998;0.17946;0.196;0.145;0.41058999999999996;0.17163;0.288;0.369;0.05987;0.009470000000000001;0.127;0.10875;0.14897;0.226
2321;0.355;0.17858000000000002;0.1032;0.134;0.19;0.19388999999999998;0.12159;0.159;0.207;0.19033;0.18142;0.085;0.37504000000000004;0.30519;0.285;0.11295000000000001;0.07071;0.065;0.086;0.22685;0.09915;0.167;0.225;0.12206;0.06709;0.093;0.08143;0.06386;0.116
2322;0.133;0.012320000000000001;0.0025299999999999997;0.005;0.026;0.013890000000000001;0.0031;0.005;0.028;0.0028;0.03345;0.015;0.14633000000000002;0.08052;0.064;0.0354;0.011689999999999999;0.008;0.027;0.047560000000000005;0.013710000000000002;0.034;0.063;0.04967;0.00907;0.031;0.038979999999999994;0.00867;0.025
2323;0.002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002;0.0;0.0;0.0;0.0;0.0;0.0
2324;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2325;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2327;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2328;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2329;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2330;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2331;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2332;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2334;0.0;0.00869;0.036770000000000004;0.066;0.019;0.00808;0.03896;0.071;0.027;0.0;0.00937;0.02;0.0;0.008150000000000001;0.018;0.0;0.01174;0.03;0.001;0.0;0.01091;0.004;0.0;0.0;0.013;0.015;0.0;0.006;0.014
2335;0.082;0.14878;0.23998;0.267;0.171;0.17466;0.24643;0.294;0.209;0.019010000000000003;0.048979999999999996;0.1;0.01618;0.04618;0.097;0.05241;0.12244;0.175;0.048;0.0329;0.11761;0.039;0.03;0.13256;0.16912;0.084;0.028820000000000002;0.13862;0.106
2336;0.308;0.38662;0.4551;0.477;0.393;0.38661;0.4845;0.526;0.407;0.18946000000000002;0.25738;0.304;0.18794999999999998;0.25225;0.298;0.15339;0.29033;0.323;0.122;0.1226;0.27106;0.106;0.108;0.27824;0.35076999999999997;0.271;0.11436;0.20506;0.271
2337;0.515;0.5555599999999999;0.60995;0.635;0.549;0.59609;0.66238;0.704;0.602;0.40788;0.46404;0.493;0.40511;0.45571;0.492;0.48787;0.44468;0.242;0.274;0.17181;0.3163;0.198;0.166;0.1643;0.54989;0.379;0.1901;0.32156;0.513
